ano,modelo,parametro,beta_probabilidade,beta_pontos_percentuais,erro_padrao_pontos_percentuais,ic95_inferior_pontos_percentuais,ic95_superior_pontos_percentuais,p_valor,r2_within,n,municipios
2016,Somente dinheiro,Receita: dobro,0.11732517939749908,11.732517939749908,0.6390005204782059,10.480076919612625,12.98495895988719,2.7092548075561425e-75,0.11287750567684185,25622,497
2016,Dinheiro + força da lista,Receita: dobro,0.10979226237887318,10.979226237887318,0.611411828443959,9.780859054137158,12.177593421637479,4.2176934338086263e-72,0.12063215076820577,25622,497
2016,Dinheiro + força da lista,Força da lista: +10 p.p.,0.03320846789029312,3.320846789029312,0.17326280464539434,2.9812516919243395,3.660441886134285,7.045405179227665e-82,0.12063215076820577,25622,497
2016,Dinheiro + votos + lista,Receita: dobro,0.029509160130860697,2.95091601308607,0.37075161849225846,2.224242840841243,3.677589185330896,1.730429823427503e-15,0.24282274630876666,25622,497
2016,Dinheiro + votos + lista,Votos nominais: dobro,0.08392777622828508,8.392777622828508,0.5365514797803624,7.341136722458998,9.444418523198019,3.7627437681099706e-55,0.24282274630876666,25622,497
2016,Dinheiro + votos + lista,Força da lista: +10 p.p.,0.0032861623650290283,0.32861623650290284,0.23271197862174045,-0.12749924159570847,0.784731714601514,0.15791589932897476,0.24282274630876666,25622,497
2016,Votos + lista,Votos nominais: dobro,0.09286790358595207,9.286790358595207,0.48830514458832647,8.329712275202086,10.243868441988328,1.2005616654414561e-80,0.2380385556994069,25622,497
2016,Votos + lista,Força da lista: +10 p.p.,0.005328788637385958,0.5328788637385958,0.23523856507054816,0.07181127620032147,0.9939464512768701,0.023496115981567336,0.2380385556994069,25622,497
2020,Somente dinheiro,Receita: dobro,0.09043736169232885,9.043736169232886,0.46158047084128556,8.139038446383966,9.948433892081805,1.7749671299298294e-85,0.0714347866852677,30311,497
2020,Dinheiro + força da lista,Receita: dobro,0.07641423438983984,7.641423438983984,0.3788183678701727,6.898939437958446,8.383907440009523,1.734485843071571e-90,0.10293468572817344,30311,497
2020,Dinheiro + força da lista,Força da lista: +10 p.p.,0.06422326509402644,6.4223265094026445,0.16263029910195398,6.103571123162814,6.741081895642474,0.0,0.10293468572817344,30311,497
2020,Dinheiro + votos + lista,Receita: dobro,0.011615701642424241,1.161570164242424,0.2469467026310046,0.6775546270856551,1.645585701399193,2.5545330013582297e-06,0.23985806943552201,30311,497
2020,Dinheiro + votos + lista,Votos nominais: dobro,0.0812770185932794,8.12770185932794,0.46283956472392407,7.220536312469049,9.034867406186832,4.942337871960106e-69,0.23985806943552201,30311,497
2020,Dinheiro + votos + lista,Força da lista: +10 p.p.,0.03150580072845253,3.1505800728452527,0.21274952667161,2.733591000568897,3.5675691451216087,1.283804831513178e-49,0.23985806943552201,30311,497
2020,Votos + lista,Votos nominais: dobro,0.08422799143995624,8.422799143995624,0.4287977402204913,7.582355573163461,9.263242714827786,6.65883431026808e-86,0.23896691012622207,30311,497
2020,Votos + lista,Força da lista: +10 p.p.,0.03251141017774888,3.2511410177748883,0.2103632383986246,2.8388290705135844,3.663452965036192,6.992927555461809e-54,0.23896691012622207,30311,497
2024,Somente dinheiro,Receita: dobro,0.09006722406294833,9.006722406294832,0.39438247938336285,8.233732746703442,9.779712065886224,1.9440081267289848e-115,0.06778033370467107,26041,497
2024,Dinheiro + força da lista,Receita: dobro,0.07037643716190813,7.0376437161908125,0.30734918498680813,6.435239313616668,7.640048118764957,4.8781215521117934e-116,0.13074155217029382,26041,497
2024,Dinheiro + força da lista,Força da lista: +10 p.p.,0.10063071888675933,10.063071888675932,0.17573521998578126,9.718630857503802,10.407512919848063,0.0,0.13074155217029382,26041,497
2024,Dinheiro + votos + lista,Receita: dobro,0.006107040294430468,0.6107040294430468,0.2882910386004025,0.04565359378625794,1.1757544650998357,0.034144642167392776,0.29140143742336877,26041,497
2024,Dinheiro + votos + lista,Votos nominais: dobro,0.09684524075635521,9.68452407563552,0.378186102562806,8.943279314612422,10.425768836658621,1.2481436930772477e-144,0.29140143742336877,26041,497
2024,Dinheiro + votos + lista,Força da lista: +10 p.p.,0.04353197240115759,4.353197240115759,0.2197049472083621,3.922575543587369,4.783818936644148,2.261891683614608e-87,0.29140143742336877,26041,497
2024,Votos + lista,Votos nominais: dobro,0.09840640551821346,9.840640551821346,0.36068757289218756,9.133692908952657,10.547588194690034,6.749058345302687e-164,0.29115534147118616,26041,497
2024,Votos + lista,Força da lista: +10 p.p.,0.043879747984275186,4.387974798427519,0.2150941689699703,3.966390227246377,4.80955936960866,1.663632592464362e-92,0.29115534147118616,26041,497
