ano,metodo,beta_dinheiro_sem_votos_pp,beta_dinheiro_com_lista_pp,beta_dinheiro_com_votos_lista_pp,atenuacao_lista,atenuacao_votos_lista
2016,LPM com efeito fixo municipal,11.732517939749908,10.979226237887318,2.95091601308607,0.06420545919733289,0.748483997361868
2020,LPM com efeito fixo municipal,9.043736169232886,7.641423438983984,1.161570164242424,0.1550590048192272,0.8715608082205972
2024,LPM com efeito fixo municipal,9.006722406294832,7.0376437161908125,0.6107040294430468,0.2186232239963145,0.9321946428574035
