ano,candidatos,eleitos,votos_validos_municipio,rho_receita_votos,p_receita_votos,rho_despesa_votos,p_despesa_votos,rho_receita_votos_dentro_lista,p_receita_votos_dentro_lista,auc_receita_eleicao,auc_despesa_eleicao,auc_votos_eleicao,auc_forca_lista_eleicao,retornantes,incumbentes,auc_votos_anteriores_eleicao,auc_forca_anterior_lista_eleicao
2016,337,21,179870.0,0.662687496487237,5.589443042047839e-44,0.6659847274473791,1.4954838298084198e-44,0.6212763588635767,6.166861701127342e-37,0.9567510548523206,0.956298975286317,0.9933694996986137,0.7152652200120555,0,0,,
2020,425,21,155371.0,0.6355828796179559,1.793626236748389e-49,0.6145233033549684,1.7309484407505774e-45,0.5941222330845815,8.25571938962168e-42,0.9222065063649222,0.8916784535596417,0.991984912776992,0.7391560584629893,87,15,0.7650872230080151,0.7080386610089581
2024,252,21,172868.0,0.6676546369712337,6.883892665893615e-34,0.6648306176145458,1.610551444992746e-33,0.5796340048266493,5.117360190800142e-24,0.9204287775716347,0.9154813440527726,0.997732426303855,0.733044733044733,86,17,0.8532261389404248,0.6745001030715316
