ano,codigo_municipio,municipio,candidatos,rho_receita_votos,p_receita_votos,rho_receita_votos_dentro_lista,p_receita_votos_dentro_lista,auc_receita_eleicao,auc_votos_eleicao,auc_forca_lista_eleicao,percentil_rho_receita_votos,percentil_rho_receita_votos_dentro_lista,percentil_auc_votos_eleicao
2016,84735,ÁUREA,27,0.3442799232203932,0.07866383471992684,0.44546470244439285,0.019879848780314405,0.5617283950617283,0.9938271604938271,0.5,0.2112676056338028,0.29979879275653926,0.5201207243460765
2016,84743,TRÊS ARROIOS,32,-0.02614626896917672,0.8870443567876698,0.06344871722590884,0.7345402907559964,0.5072463768115942,1.0,0.6014492753623188,0.02414486921529175,0.04024144869215292,0.8430583501006036
2016,84751,NOVA ROMA DO SUL,25,0.14697961842100338,0.4832429904928261,0.0860111618770595,0.6826882185328642,0.6180555555555556,0.9930555555555556,0.4965277777777778,0.08651911468812877,0.0482897384305835,0.47585513078470826
2016,84760,PROGRESSO,38,0.5459971558315622,0.0003913927914935941,0.4489751609896273,0.004691650934467607,0.7873563218390804,0.9846743295019158,0.6762452107279693,0.4949698189134809,0.30784708249496984,0.2414486921529175
2016,84778,PIRAPÓ,21,0.35401106121727655,0.1153882278224609,0.37049075729712205,0.09827290600514535,0.6574074074074074,1.0,0.5277777777777778,0.2193158953722334,0.19114688128772636,0.8430583501006036
2016,84786,JABOTICABA,24,0.4896584656263779,0.015154020848062973,0.3928984194515568,0.057533383123318925,0.6333333333333333,1.0,0.6888888888888889,0.39436619718309857,0.23541247484909456,0.8430583501006036
2016,84794,SÃO JORGE,18,0.23219814241486067,0.3538383254251315,0.5083333333333334,0.031238185462720468,0.654320987654321,0.962962962962963,0.5555555555555556,0.14084507042253522,0.40643863179074446,0.04225352112676056
2016,84808,ALTO ALEGRE,25,0.0064413438861288825,0.975621987677803,0.285029466961203,0.16726952369845613,0.5277777777777778,1.0,0.4965277777777778,0.04024144869215292,0.13078470824949698,0.8430583501006036
2016,84816,NOVA HARTZ,103,0.6076587167712664,1.0021566625175925e-11,0.6001482593766795,2.619937228252585e-11,0.7430830039525691,0.9940711462450593,0.5657114624505929,0.6156941649899397,0.5915492957746479,0.5311871227364185
2016,84824,DOIS LAJEADOS,33,0.6133366085779578,0.0001474872369998174,0.5955113159190447,0.0002561113907088218,0.6898148148148149,0.9814814814814815,0.5347222222222222,0.6297786720321932,0.5814889336016097,0.17303822937625754
2016,84832,SÃO DOMINGOS DO SUL,30,0.2839341414308765,0.1283649789513086,0.08351893302907559,0.6608193569221464,0.6428571428571429,0.9947089947089947,0.5687830687830688,0.16498993963782696,0.04627766599597585,0.5613682092555332
