ano,fold,modelo,auc
2016,39,Votos correntes + lista,0.9841269841269842
2016,39,Votos correntes + lista + dinheiro,0.988095238095238
2016,40,Somente dinheiro,0.9325396825396826
2016,40,Votos correntes + lista,0.9841269841269841
2016,40,Votos correntes + lista + dinheiro,0.9682539682539683
2016,41,Somente dinheiro,0.92578125
2016,41,Votos correntes + lista,1.0
2016,41,Votos correntes + lista + dinheiro,1.0
2016,42,Somente dinheiro,0.9746031746031746
2016,42,Votos correntes + lista,0.9936507936507936
2016,42,Votos correntes + lista + dinheiro,0.9968253968253968
2016,43,Somente dinheiro,0.9206349206349207
2016,43,Votos correntes + lista,0.988095238095238
2016,43,Votos correntes + lista + dinheiro,0.9444444444444444
2016,44,Somente dinheiro,0.9722222222222222
2016,44,Votos correntes + lista,1.0
2016,44,Votos correntes + lista + dinheiro,0.996031746031746
2016,45,Somente dinheiro,0.9642857142857143
2016,45,Votos correntes + lista,1.0
2016,45,Votos correntes + lista + dinheiro,0.988095238095238
2016,46,Somente dinheiro,0.9765625
2016,46,Votos correntes + lista,1.0
2016,46,Votos correntes + lista + dinheiro,0.9921875
2016,47,Somente dinheiro,0.9682539682539681
2016,47,Votos correntes + lista,1.0
2016,47,Votos correntes + lista + dinheiro,1.0
2016,48,Somente dinheiro,0.9603174603174603
2016,48,Votos correntes + lista,1.0
2016,48,Votos correntes + lista + dinheiro,0.9960317460317459
2016,49,Somente dinheiro,0.9047619047619048
2016,49,Votos correntes + lista,0.9761904761904763
2016,49,Votos correntes + lista + dinheiro,0.9642857142857143
2016,50,Somente dinheiro,0.9642857142857143
2016,50,Votos correntes + lista,0.9801587301587301
2016,50,Votos correntes + lista + dinheiro,0.9801587301587301
2020,1,Somente dinheiro,0.9722222222222223
2020,1,Votos correntes + lista,0.9814814814814815
2020,1,Votos correntes + lista + dinheiro,0.9814814814814815
2020,1,Viabilidade prévia,0.9876543209876544
2020,1,Viabilidade prévia + dinheiro,0.9814814814814815
2020,2,Somente dinheiro,0.9135802469135803
2020,2,Votos correntes + lista,1.0
2020,2,Votos correntes + lista + dinheiro,0.9907407407407408
2020,2,Viabilidade prévia,0.6882716049382717
2020,2,Viabilidade prévia + dinheiro,0.861111111111111
2020,3,Somente dinheiro,0.867283950617284
2020,3,Votos correntes + lista,1.0
2020,3,Votos correntes + lista + dinheiro,0.9845679012345679
2020,3,Viabilidade prévia,0.7901234567901234
2020,3,Viabilidade prévia + dinheiro,0.8734567901234568
2020,4,Somente dinheiro,0.9691358024691358
2020,4,Votos correntes + lista,0.9598765432098766
2020,4,Votos correntes + lista + dinheiro,0.9691358024691358
2020,4,Viabilidade prévia,0.8287037037037037
2020,4,Viabilidade prévia + dinheiro,0.9537037037037037
2020,5,Somente dinheiro,0.915
2020,5,Votos correntes + lista,0.995
2020,5,Votos correntes + lista + dinheiro,0.9925
2020,5,Viabilidade prévia,0.89125
2020,5,Viabilidade prévia + dinheiro,0.9400000000000001
2020,6,Somente dinheiro,0.8364197530864197
2020,6,Votos correntes + lista,1.0
2020,6,Votos correntes + lista + dinheiro,0.9907407407407407
2020,6,Viabilidade prévia,0.8425925925925926
2020,6,Viabilidade prévia + dinheiro,0.9043209876543209
2020,7,Somente dinheiro,0.9969135802469136
2020,7,Votos correntes + lista,0.9969135802469136
2020,7,Votos correntes + lista + dinheiro,0.9969135802469136
2020,7,Viabilidade prévia,0.7700617283950617
2020,7,Viabilidade prévia + dinheiro,0.95679012345679
