ano,etapa,modelo,parametro,beta,erro_padrao_cluster,odds_ratio,or_ic95_inferior,or_ic95_superior,p_valor,log_verossimilhanca,n,municipios,convergiu,gradiente_maximo
2016,Votos correntes,Somente dinheiro,Receita: dobro,1.3033483880897963,0.03143393774214217,3.68160348938838,3.4616240934659883,3.9155621428279943,0.0,-8420.730262376324,25622,497,True,3.5601594765566347e-06
2016,Votos correntes,Dinheiro + força da lista,Receita: dobro,1.26278490453558,0.03192977425159268,3.535253133398924,3.3207894705760337,3.7635673167317556,0.0,-8323.897378847621,25622,497,True,6.054534615884677e-07
2016,Votos correntes,Dinheiro + força da lista,Força da lista: +10 p.p.,0.25057765936633714,0.01727262913978205,1.2847673602710046,1.2420004008444827,1.329006954341884,1.0906718760767039e-47,-8323.897378847621,25622,497,True,6.054534615884677e-07
2020,Votos correntes,Somente dinheiro,Receita: dobro,1.0812511932337046,0.03235957397246073,2.9483662200819576,2.7671735722782995,3.1414232395126795,8.688412903266283e-245,-9609.929865055317,30311,497,True,1.8470204032894344e-06
2020,Votos correntes,Dinheiro + força da lista,Receita: dobro,1.0223349939127442,0.03288406860537945,2.7796777227461247,2.6061713260091715,2.96473534384358,3.3849323932794325e-212,-9236.884010903885,30311,497,True,3.1483768802686996e-05
2020,Votos correntes,Dinheiro + força da lista,Força da lista: +10 p.p.,0.43249877012015303,0.014840953517354838,1.5411035799192907,1.4969212535668186,1.5865899681636393,1.0474096885904686e-186,-9236.884010903885,30311,497,True,3.1483768802686996e-05
2020,Pré-campanha,Viabilidade prévia,Força anterior da lista: +10 p.p.,0.22377509730292755,0.013179312925399457,1.250789681819843,1.2188936998750421,1.283520317077174,1.1693373281187313e-64,-9324.44338102125,30311,497,True,2.965246856945214e-07
2020,Pré-campanha,Viabilidade prévia,Lista anterior observada,0.06643424355458548,0.08611717038672198,1.0686906884637406,0.9027086625986802,1.2651920103671925,0.4404460796838654,-9324.44338102125,30311,497,True,2.965246856945214e-07
2020,Pré-campanha,Viabilidade prévia,Retornante,-5.074698467776106,0.27095770395952223,0.006252971627832672,0.0036765680114350125,0.010634824123168952,2.886257460686613e-78,-9324.44338102125,30311,497,True,2.965246856945214e-07
2020,Pré-campanha,Viabilidade prévia,Votos anteriores: dobro,0.8282731215674481,0.03476152400942804,2.2893618750885367,2.1385767432119183,2.4507784496137375,1.7414928886679932e-125,-9324.44338102125,30311,497,True,2.965246856945214e-07
2020,Pré-campanha,Viabilidade prévia + dinheiro,Força anterior da lista: +10 p.p.,0.18147568623394575,0.01415979478892332,1.198985384505174,1.1661672169947839,1.2327271177813002,1.3295176099956102e-37,-8650.902570563183,30311,497,True,3.5956650769719545e-05
2020,Pré-campanha,Viabilidade prévia + dinheiro,Lista anterior observada,0.05973856667494576,0.09410529194937674,1.061558983370045,0.8827548009617534,1.2765803980288613,0.5255552080574684,-8650.902570563183,30311,497,True,3.5956650769719545e-05
2020,Pré-campanha,Viabilidade prévia + dinheiro,Retornante,-3.3441440230867427,0.2815421097551038,0.03529041000894971,0.020323720893316816,0.061278790686862615,1.5409424300019748e-32,-8650.902570563183,30311,497,True,3.5956650769719545e-05
2020,Pré-campanha,Viabilidade prévia + dinheiro,Votos anteriores: dobro,0.5776023620400386,0.037162095023294414,1.7817612867809172,1.6565956044038586,1.916383983291822,1.7808043210921557e-54,-8650.902570563183,30311,497,True,3.5956650769719545e-05
2020,Pré-campanha,Viabilidade prévia + dinheiro,Receita: dobro,0.8535168861438615,0.03524738350710662,2.3478896094450423,2.1911620388914437,2.5158274560693514,1.5447686790605096e-129,-8650.902570563183,30311,497,True,3.5956650769719545e-05
2024,Votos correntes,Somente dinheiro,Receita: dobro,0.9551563214826996,0.030198291740953877,2.5990768427108306,2.449705148272575,2.7575565324990934,1.4523678282587425e-219,-9362.28629548015,26041,497,True,4.321807427487556e-07
2024,Votos correntes,Dinheiro + força da lista,Receita: dobro,0.8869304068997567,0.02960232641200098,2.427666254769568,2.2908200344958756,2.5726872280667195,3.1155278632728325e-197,-8694.523868884264,26041,497,True,1.9677160477016287e-05
2024,Votos correntes,Dinheiro + força da lista,Força da lista: +10 p.p.,0.6282385390940176,0.019655778787697788,1.8743061527957299,1.80347112855629,1.947923367767005,3.6771883800145967e-224,-8694.523868884264,26041,497,True,1.9677160477016287e-05
2024,Pré-campanha,Viabilidade prévia,Força anterior da lista: +10 p.p.,0.2546051909673159,0.01591524824279503,1.289952235530221,1.2503347361828598,1.3308250357255214,1.328747820890361e-57,-8523.235323295674,26041,497,True,5.505569479424821e-06
