ano,codigo_municipio,lista_id,votos_nominais_validos_lista,votos_legenda_validos_lista,votos_validos_lista,partidos_na_lista,votos_validos_municipio,fracao_votos_lista
2024,87122,PARTIDO:MDB,665,21,686,1,3003,0.22843822843822845
2024,87122,PARTIDO:PP,2273,44,2317,1,3003,0.7715617715617715
2024,87130,FEDERACAO:101,739,46,785,3,17895,0.04386700195585359
2024,87130,PARTIDO:MDB,1767,28,1795,1,17895,0.10030734842134674
2024,87130,PARTIDO:PDT,2592,99,2691,1,17895,0.15037720033528917
2024,87130,PARTIDO:PL,6989,281,7270,1,17895,0.4062587314892428
2024,87130,PARTIDO:PP,2719,66,2785,1,17895,0.15563006426376083
2024,87130,PARTIDO:PSB,879,13,892,1,17895,0.04984632578932663
2024,87130,PARTIDO:REPUBLICANOS,1665,12,1677,1,17895,0.09371332774518022
2024,87149,PARTIDO:MDB,1041,20,1061,1,4376,0.24245886654478976
2024,87149,PARTIDO:PP,1819,42,1861,1,4376,0.42527422303473494
2024,87149,PARTIDO:UNIÃO,1441,13,1454,1,4376,0.33226691042047535
2024,87157,FEDERACAO:101,1980,92,2072,3,2750,0.7534545454545455
2024,87157,PARTIDO:MDB,665,13,678,1,2750,0.24654545454545454
2024,87165,PARTIDO:MDB,299,9,308,1,2124,0.14500941619585686
2024,87165,PARTIDO:PDT,855,36,891,1,2124,0.4194915254237288
2024,87165,PARTIDO:PL,212,6,218,1,2124,0.10263653483992467
2024,87165,PARTIDO:PP,383,5,388,1,2124,0.18267419962335216
2024,87165,PARTIDO:UNIÃO,314,5,319,1,2124,0.1501883239171375
2024,87173,FEDERACAO:101,1082,56,1138,3,12938,0.08795795331581388
2024,87173,PARTIDO:PL,952,28,980,1,12938,0.07574586489411038
2024,87173,PARTIDO:PODE,2090,19,2109,1,12938,0.1630081929200804
2024,87173,PARTIDO:PP,5643,209,5852,1,12938,0.4523110217962591
2024,87173,PARTIDO:REPUBLICANOS,2695,164,2859,1,12938,0.2209769670737363
2024,87181,PARTIDO:MDB,744,14,758,1,2217,0.34190347316193054
2024,87181,PARTIDO:PP,873,20,893,1,2217,0.40279657194406854
2024,87181,PARTIDO:PSB,561,5,566,1,2217,0.2552999548940009
2024,87190,FEDERACAO:101,398,7,405,3,2819,0.1436679673643136
