ano,modelo,auc_media,auc_desvio,auc_p10,auc_p90,folds
2016,Somente dinheiro,0.9541894841269841,0.029794951966440626,0.9047619047619048,0.9841269841269841,50
2016,Votos correntes + lista,0.9928474702380952,0.007765444682648355,0.9808730158730158,1.0,50
2016,Votos correntes + lista + dinheiro,0.9838809523809523,0.013697610784614551,0.9642857142857143,1.0,50
2020,Somente dinheiro,0.9240444444444446,0.043739824211657466,0.8733611111111111,0.9725000000000001,50
2020,Viabilidade prévia,0.8441824074074075,0.07685857089516956,0.7535293209876543,0.9396604938271604,50
2020,Viabilidade prévia + dinheiro,0.9323234567901235,0.03983159105233958,0.8762345679012346,0.9753395061728395,50
2020,Votos correntes + lista,0.9898783950617285,0.009171186935461909,0.9783950617283951,1.0,50
2020,Votos correntes + lista + dinheiro,0.9849277777777777,0.010725362086614664,0.9719135802469135,0.9969135802469136,50
2024,Somente dinheiro,0.9186947271045328,0.05257391418981465,0.860108695652174,0.9744565217391304,50
2024,Viabilidade prévia,0.8117740518038853,0.14127607450326238,0.6451630434782609,0.9622826086956522,50
2024,Viabilidade prévia + dinheiro,0.9268395004625347,0.05175582871677444,0.86,0.9842391304347826,50
2024,Votos correntes + lista,0.9994805735430157,0.0024724543821170717,1.0,1.0,50
2024,Votos correntes + lista + dinheiro,0.9964338575393153,0.006529642419591289,0.9840078630897318,1.0,50
