ano,codigo_municipio,SG_PARTIDO,lista_id,municipio_partido,votos_legenda_validos,votos_nominais_convertidos_legenda,total_votos_legenda_validos,votos_nominais_validos_partido,votos_validos_partido,partido_normalizado,fracao_votos_partido
2020,87637,MDB,PARTIDO:MDB,NOVA BRÉSCIA,34,0,34,290,324,MDB,0.13059250302297462
2020,87637,PDT,PARTIDO:PDT,NOVA BRÉSCIA,32,0,32,721,753,PDT,0.30350665054413545
2020,87637,PP,PARTIDO:PP,NOVA BRÉSCIA,35,0,35,1369,1404,PP,0.56590084643289
2020,87645,MDB,PARTIDO:MDB,SANTO ANTÔNIO DO PALMA,5,0,5,291,296,MDB,0.17219313554392088
2020,87645,PDT,PARTIDO:PDT,SANTO ANTÔNIO DO PALMA,21,0,21,268,289,PDT,0.16812100058173357
2020,87645,PP,PARTIDO:PP,SANTO ANTÔNIO DO PALMA,11,0,11,309,320,PP,0.18615474112856312
2020,87645,PSB,PARTIDO:PSB,SANTO ANTÔNIO DO PALMA,31,0,31,415,446,PSB,0.25945317044793487
2020,87645,PT,PARTIDO:PT,SANTO ANTÔNIO DO PALMA,7,0,7,361,368,PT,0.2140779522978476
2020,87653,MDB,PARTIDO:MDB,NOVA PALMA,78,0,78,1946,2024,MDB,0.4577114427860697
2020,87653,PP,PARTIDO:PP,NOVA PALMA,21,0,21,1473,1494,PP,0.3378561736770692
2020,87653,PSB,PARTIDO:PSB,NOVA PALMA,33,0,33,546,579,PSB,0.1309362279511533
2020,87653,PT,PARTIDO:PT,NOVA PALMA,8,0,8,317,325,PT,0.07349615558570782
2020,87661,DEM,PARTIDO:DEM,SANTO ANTÔNIO DO PLANALTO,2,0,2,284,286,DEM,0.15310492505353318
2020,87661,MDB,PARTIDO:MDB,SANTO ANTÔNIO DO PLANALTO,2,0,2,311,313,MDB,0.16755888650963596
2020,87661,PDT,PARTIDO:PDT,SANTO ANTÔNIO DO PLANALTO,30,0,30,631,661,PDT,0.3538543897216274
2020,87661,PP,PARTIDO:PP,SANTO ANTÔNIO DO PLANALTO,5,0,5,144,149,PP,0.07976445396145611
2020,87661,PTB,PARTIDO:PTB,SANTO ANTÔNIO DO PLANALTO,24,0,24,319,343,PTB,0.1836188436830835
2020,87661,REPUBLICANOS,PARTIDO:REPUBLICANOS,SANTO ANTÔNIO DO PLANALTO,9,0,9,107,116,REPUBLICANOS,0.06209850107066381
2020,87670,MDB,PARTIDO:MDB,NOVA PETRÓPOLIS,39,0,39,2457,2496,MDB,0.20560131795716638
2020,87670,PATRIOTA,PARTIDO:PATRIOTA,NOVA PETRÓPOLIS,57,0,57,880,937,PATRIOTA,0.0771828665568369
2020,87670,PDT,PARTIDO:PDT,NOVA PETRÓPOLIS,128,0,128,1195,1323,PDT,0.10897858319604613
2020,87670,PP,PARTIDO:PP,NOVA PETRÓPOLIS,45,0,45,1740,1785,PP,0.1470345963756178
2020,87670,PSB,PARTIDO:PSB,NOVA PETRÓPOLIS,23,0,23,1536,1559,PSB,0.12841845140032948
2020,87670,PSDB,PARTIDO:PSDB,NOVA PETRÓPOLIS,220,0,220,2229,2449,PSDB,0.2017298187808896
2020,87670,REPUBLICANOS,PARTIDO:REPUBLICANOS,NOVA PETRÓPOLIS,74,0,74,1517,1591,REPUBLICANOS,0.1310543657331137
2020,87688,CIDADANIA,PARTIDO:CIDADANIA,SANTO EXPEDITO DO SUL,6,0,6,90,96,CIDADANIA,0.047784967645594825
2020,87688,MDB,PARTIDO:MDB,SANTO EXPEDITO DO SUL,27,0,27,675,702,MDB,0.34942757590841217
2020,87688,PL,PARTIDO:PL,SANTO EXPEDITO DO SUL,31,0,31,317,348,PL,0.17322050771528125
2020,87688,PP,PARTIDO:PP,SANTO EXPEDITO DO SUL,11,0,11,303,314,PP,0.1562966650074664
2020,87688,PT,PARTIDO:PT,SANTO EXPEDITO DO SUL,7,0,7,386,393,PT,0.19561971129915381
2020,87688,PTB,PARTIDO:PTB,SANTO EXPEDITO DO SUL,5,0,5,151,156,PTB,0.07765057242409158
2020,87696,DEM,PARTIDO:DEM,NOVA PRATA,21,0,21,1684,1705,DEM,0.11727078891257996
2020,87696,MDB,PARTIDO:MDB,NOVA PRATA,239,0,239,3428,3667,MDB,0.25221817181374234
2020,87696,PDT,PARTIDO:PDT,NOVA PRATA,34,0,34,626,660,PDT,0.04539514409519224
2020,87696,PP,PARTIDO:PP,NOVA PRATA,28,0,28,391,419,PP,0.02881903844831144
2020,87696,PSB,PARTIDO:PSB,NOVA PRATA,15,0,15,1137,1152,PSB,0.07923516060251737
2020,87696,PSD,PARTIDO:PSD,NOVA PRATA,41,0,41,2177,2218,PSD,0.15255519636838846
2020,87696,PSL,PARTIDO:PSL,NOVA PRATA,143,0,143,1607,1750,PSL,0.1203659123736158
2020,87696,PT,PARTIDO:PT,NOVA PRATA,32,0,32,651,683,PT,0.04697709608638834
2020,87696,PTB,PARTIDO:PTB,NOVA PRATA,104,0,104,1776,1880,PTB,0.12930738014994153
2020,87696,PV,PARTIDO:PV,NOVA PRATA,14,0,14,391,405,PV,0.027856111149322512
2020,87700,MDB,PARTIDO:MDB,SÃO JOÃO DO POLÊSINE,40,0,40,1269,1309,MDB,0.6614451743304699
2020,87700,PP,PARTIDO:PP,SÃO JOÃO DO POLÊSINE,24,0,24,646,670,PP,0.33855482566953005
2020,87718,CIDADANIA,PARTIDO:CIDADANIA,NOVO HAMBURGO,54,0,54,229,283,CIDADANIA,0.002551388388027407
2020,87718,DEM,PARTIDO:DEM,NOVO HAMBURGO,52,0,52,474,526,DEM,0.0047421565091958166
2020,87718,MDB,PARTIDO:MDB,NOVO HAMBURGO,343,0,343,12409,12752,MDB,0.1149657410746484
2020,87718,PATRIOTA,PARTIDO:PATRIOTA,NOVO HAMBURGO,21,0,21,461,482,PATRIOTA,0.004345474215650919
2020,87718,PC do B,PARTIDO:PC do B,NOVO HAMBURGO,37,0,37,1084,1121,PC DO B,0.010106382978723405
2020,87718,PDT,PARTIDO:PDT,NOVO HAMBURGO,528,0,528,10938,11466,PDT,0.10337179949513163
2020,87718,PL,PARTIDO:PL,NOVO HAMBURGO,49,0,49,2415,2464,PL,0.022214208438514245
2020,87718,PP,PARTIDO:PP,NOVO HAMBURGO,966,0,966,12668,13634,PP,0.12291741795888929
2020,87718,PRTB,PARTIDO:PRTB,NOVO HAMBURGO,41,0,41,3805,3846,PRTB,0.03467363865849261
2020,87718,PSB,PARTIDO:PSB,NOVO HAMBURGO,67,0,67,3264,3331,PSB,0.030030652722683016
2020,87718,PSC,PARTIDO:PSC,NOVO HAMBURGO,32,0,32,470,502,PSC,0.004525784349080418
2020,87718,PSDB,PARTIDO:PSDB,NOVO HAMBURGO,1999,0,1999,19118,21117,PSDB,0.19038045438153625
