ano,ideologia,situacao,candidatos,despesa_total_2024,despesa_digital_2024,fracao_digital_agregada,taxa_adocao_digital,fracao_digital_media,despesa_digital_mediana_2024
2016,Centro,Não eleitos,6445,24329182.029831216,33158.03485522402,0.0013628914780023146,0.0031031807602792862,0.0005186883253351181,0.0
2016,Centro,Eleitos,1539,12160501.888138678,31525.99642110224,0.0025924913881928357,0.007147498375568551,0.000395507217516924,0.0
2016,Direita,Não eleitos,7338,28195916.52245059,61705.35387227901,0.0021884500127224813,0.003679476696647588,0.0006873304812755928,0.0
2016,Direita,Eleitos,1848,15684433.073568147,24572.067781083388,0.0015666532329111046,0.005411255411255411,0.00030288722296718644,0.0
2016,Esquerda,Não eleitos,6929,28179586.885351554,43203.835437273556,0.0015331607100220472,0.004185308125270602,0.000519666131141922,0.0
2016,Esquerda,Eleitos,1523,14237503.136008427,27006.06124039,0.0018968256570274808,0.007879185817465528,0.000486608623652826,0.0
2020,Centro,Não eleitos,6268,14719636.680760741,850672.9300519666,0.05779170698987674,0.0768985322271857,0.018774697927884026,0.0
2020,Centro,Eleitos,1434,6612850.0474036615,371094.44132886,0.05611717166859986,0.09832635983263599,0.018032096761519473,0.0
2020,Direita,Não eleitos,11624,30723094.89020522,1489134.053817128,0.048469532745279396,0.0769958706125258,0.020363554527881002,0.0
2020,Direita,Eleitos,2116,11498257.272228234,526951.469480041,0.04582881188028276,0.11153119092627599,0.019285116375791174,0.0
2020,Esquerda,Não eleitos,7516,18520554.127633963,1082508.8062264533,0.05844905064753297,0.08661522086216072,0.02121248076326463,0.0
2020,Esquerda,Eleitos,1353,8007563.022589186,536509.6949285415,0.0670003712009581,0.12490761271249076,0.016149876982565516,0.0
2024,Centro,Não eleitos,4850,21544084.75,1074785.57,0.04988773403335224,0.09608247422680412,0.020673384236656926,0.0
2024,Centro,Eleitos,1437,9602780.870000001,487148.45,0.05072993506723641,0.11134307585247043,0.01769250857229513,0.0
2024,Direita,Não eleitos,10646,50939076.699999996,2823528.1899999995,0.05542951252589154,0.12182979522825474,0.02679478900393183,0.0
2024,Direita,Eleitos,2378,21180290.910000004,1370704.04,0.06471601574428043,0.1404541631623213,0.020591248614961807,0.0
2024,Esquerda,Não eleitos,5642,26675966.189999998,1510224.05,0.05661365887343705,0.11892945763913505,0.019795117042945915,0.0
2024,Esquerda,Eleitos,1088,10912177.100000001,844742.55,0.07741283359486531,0.17003676470588236,0.02222399676502332,0.0
