ano,grupo,candidatos,despesa_total_media_2024,despesa_total_mediana_2024,despesa_digital_media_2024,despesa_digital_mediana_2024,fracao_digital_media,taxa_adocao_digital
2016,Não eleitos,316,4141.146249849924,1256.8946213437803,2.342470332453259,0.0,0.00012410864427033183,0.0031645569620253164
2016,Eleitos,21,36203.283472456584,35843.88097999941,105.74580357931856,0.0,0.0029501772879539424,0.047619047619047616
2020,Não eleitos,404,4838.412831590779,1310.0637950247512,432.6130103475445,0.0,0.061199094132855625,0.25495049504950495
2020,Eleitos,21,26123.68500395357,22384.29990511427,2988.385983710057,0.0,0.10856800012994619,0.47619047619047616
2024,Não eleitos,231,12562.83051948052,6070.01,1229.9890043290043,0.0,0.07493516334142977,0.3939393939393939
2024,Eleitos,21,52178.62904761905,51760.0,7767.045714285714,5900.0,0.16080433099837638,0.9047619047619048
