ano,repeticao_fold,Total,Total + digital,diferenca
2020,1,0.9691358024691359,0.8858024691358025,-0.08333333333333337
2020,2,0.904320987654321,0.9351851851851851,0.030864197530864113
2020,3,0.7962962962962964,0.8148148148148149,0.01851851851851849
2020,4,0.9567901234567902,0.9506172839506173,-0.006172839506172867
2020,5,0.9099999999999999,0.9125,0.0025000000000000577
2020,6,0.8487654320987654,0.8796296296296297,0.030864197530864224
2020,7,0.9969135802469136,1.0,0.0030864197530864335
2020,8,0.9691358024691359,0.9722222222222222,0.0030864197530863224
2020,9,0.9259259259259259,0.8796296296296297,-0.04629629629629628
2020,10,0.7625,0.775,0.012500000000000067
2020,11,0.9382716049382717,0.9413580246913581,0.0030864197530864335
2020,12,0.888888888888889,0.9135802469135802,0.024691358024691246
2020,13,0.941358024691358,0.9228395061728395,-0.01851851851851849
2020,14,0.8580246913580247,0.8302469135802469,-0.02777777777777779
2020,15,0.8375,0.865,0.02749999999999997
2020,16,0.9166666666666666,0.9104938271604939,-0.006172839506172756
2020,17,0.8179012345679012,0.8117283950617283,-0.006172839506172867
2020,18,0.9691358024691358,0.9814814814814815,0.012345679012345734
2020,19,0.904320987654321,0.9104938271604939,0.006172839506172867
2020,20,0.8725,0.8875000000000001,0.015000000000000013
2020,21,0.8919753086419754,0.8981481481481481,0.006172839506172756
2020,22,0.888888888888889,0.8919753086419754,0.0030864197530864335
2020,23,0.8179012345679012,0.8333333333333334,0.015432098765432167
2020,24,0.9290123456790124,0.888888888888889,-0.04012345679012341
2020,25,0.92,0.8775,-0.04250000000000009
2020,26,0.861111111111111,0.8641975308641976,0.0030864197530865445
2020,27,0.7006172839506173,0.7438271604938271,0.043209876543209846
2020,28,0.9629629629629629,0.9567901234567902,-0.006172839506172756
2020,29,0.941358024691358,0.9290123456790124,-0.012345679012345623
2020,30,0.9524999999999999,0.9674999999999999,0.015000000000000013
2020,31,0.9135802469135802,0.9382716049382716,0.024691358024691357
2020,32,0.8518518518518519,0.867283950617284,0.015432098765432167
2020,33,0.9166666666666666,0.6604938271604939,-0.25617283950617276
2020,34,0.8672839506172839,0.8580246913580247,-0.00925925925925919
2020,35,0.92,0.915,-0.0050000000000000044
2020,36,0.9012345679012346,0.8919753086419754,-0.00925925925925919
2020,37,0.8240740740740741,0.8333333333333334,0.0092592592592593
2020,38,0.9074074074074073,0.9351851851851852,0.0277777777777779
2020,39,0.8734567901234568,0.8734567901234569,1.1102230246251565e-16
2020,40,0.9425,0.9400000000000001,-0.0024999999999999467
2020,41,0.8364197530864198,0.8425925925925927,0.006172839506172867
2020,42,0.9351851851851852,0.9290123456790124,-0.006172839506172867
2020,43,0.9228395061728395,0.9475308641975309,0.024691358024691357
2020,44,0.8395061728395061,0.8395061728395062,1.1102230246251565e-16
2020,45,0.8975,0.8875000000000001,-0.009999999999999898
2020,46,0.9506172839506173,0.9722222222222223,0.021604938271605034
2020,47,0.7530864197530864,0.7561728395061729,0.0030864197530864335
2020,48,0.9444444444444444,0.9475308641975309,0.0030864197530864335
2020,49,0.9753086419753085,0.9166666666666667,-0.05864197530864179
2020,50,0.8275,0.8275,0.0
2024,1,0.8670212765957447,0.8776595744680851,0.010638297872340385
2024,2,0.8956521739130435,0.8869565217391305,-0.008695652173912993
2024,3,0.9130434782608696,0.907608695652174,-0.005434782608695676
2024,4,0.983695652173913,0.9945652173913043,0.010869565217391353
2024,5,0.9293478260869565,0.9293478260869565,0.0
2024,6,0.8563829787234043,0.8723404255319149,0.015957446808510634
2024,7,0.9217391304347826,0.9260869565217391,0.004347826086956497
2024,8,1.0,1.0,0.0
2024,9,0.951086956521739,0.9619565217391305,0.010869565217391464
2024,10,0.8695652173913044,0.7880434782608695,-0.08152173913043492
2024,11,0.8457446808510638,0.8723404255319149,0.02659574468085113
2024,12,0.9782608695652174,0.9695652173913043,-0.008695652173913104
2024,13,0.8695652173913043,0.8423913043478262,-0.02717391304347816
2024,14,0.9456521739130435,0.9728260869565217,0.02717391304347827
2024,15,0.8858695652173914,0.8967391304347827,0.010869565217391353
2024,16,0.9414893617021276,0.8776595744680851,-0.06382978723404253
2024,17,0.9130434782608695,0.9260869565217391,0.013043478260869601
2024,18,0.8695652173913044,0.8858695652173914,0.016304347826086918
2024,19,0.9565217391304348,0.9782608695652174,0.021739130434782594
2024,20,0.842391304347826,0.8858695652173912,0.04347826086956519
2024,21,0.7606382978723404,0.7606382978723404,0.0
2024,22,0.882608695652174,0.8608695652173913,-0.021739130434782705
2024,23,0.9510869565217391,0.9456521739130435,-0.005434782608695676
2024,24,0.9945652173913043,0.9728260869565218,-0.021739130434782483
2024,25,0.9510869565217391,0.967391304347826,0.016304347826086918
2024,26,0.9042553191489362,0.8882978723404255,-0.015957446808510745
2024,27,0.8521739130434782,0.8782608695652174,0.026086956521739202
2024,28,0.8532608695652174,0.8532608695652174,0.0
2024,29,0.9619565217391305,0.9836956521739131,0.021739130434782594
2024,30,0.9945652173913043,0.9728260869565218,-0.021739130434782483
2024,31,0.7659574468085106,0.75,-0.015957446808510634
2024,32,0.8826086956521738,0.8782608695652174,-0.004347826086956386
2024,33,0.9510869565217391,0.9293478260869565,-0.021739130434782594
2024,34,0.9836956521739131,1.0,0.016304347826086918
2024,35,0.9836956521739131,0.9619565217391305,-0.021739130434782594
2024,36,0.9627659574468085,0.9893617021276595,0.02659574468085102
2024,37,0.9304347826086957,0.908695652173913,-0.021739130434782705
2024,38,0.9130434782608695,0.9239130434782609,0.010869565217391353
2024,39,0.8695652173913043,0.858695652173913,-0.010869565217391353
2024,40,0.907608695652174,0.9130434782608696,0.005434782608695676
2024,41,0.9840425531914893,0.9946808510638298,0.010638297872340496
2024,42,0.9478260869565217,0.8652173913043478,-0.08260869565217388
2024,43,0.9673913043478262,0.9510869565217391,-0.01630434782608703
2024,44,0.8967391304347827,0.9293478260869565,0.032608695652173836
2024,45,0.7717391304347826,0.7934782608695652,0.021739130434782594
2024,46,0.9680851063829786,0.9840425531914894,0.015957446808510745
2024,47,0.8956521739130435,0.917391304347826,0.021739130434782483
