ano,codigo_municipio,municipio,candidatos,eleitos,candidatos_por_vaga,fracao_receita_zero,gini_receita,auc_receita,auc_receita_dentro_partido,pares_informativos_partido,partidos_informativos,auc_esperada_pelo_numero_candidatos,auc_residuo_numero_candidatos,auc_percentil_ajustado_numero_candidatos,gini_esperado_pelo_numero_candidatos,gini_residuo_numero_candidatos,gini_percentil_ajustado_numero_candidatos
2016,84735,ÁUREA,27,9,3.0,0.0,0.14138542368293083,0.5617283950617283,0.7241379310344828,29,5,0.7063289623256104,-0.14460056726388204,0.1006036217303823,0.2851896489882475,-0.14380422530531667,0.060362173038229376
2016,84743,TRÊS ARROIOS,32,9,3.5555555555555554,0.0,0.09270914474100644,0.5072463768115942,0.66,25,5,0.7257054399630537,-0.21845906315145946,0.0482897384305835,0.31600364676099457,-0.22329450201998813,0.006036217303822937
2016,84751,NOVA ROMA DO SUL,25,9,2.7777777777777777,0.0,0.214954756419246,0.6180555555555556,0.5116279069767442,43,3,0.6974720897273338,-0.07941653417177819,0.19919517102615694,0.2712965362013755,-0.05634177978212951,0.29979879275653926
2016,84760,PROGRESSO,38,9,4.222222222222222,0.02631578947368421,0.30676721173086063,0.7873563218390804,0.6568627450980392,51,4,0.7450390965093762,0.04231722532970428,0.6297786720321932,0.34735040311473175,-0.04058319138387112,0.3641851106639839
2016,84778,PIRAPÓ,21,9,2.3333333333333335,0.0,0.2938517642383618,0.6574074074074074,0.75,40,3,0.6772396522864721,-0.019832244879064653,0.3782696177062374,0.23999094263812074,0.053860821600241054,0.710261569416499
2016,84786,JABOTICABA,24,9,2.6666666666666665,0.0,0.22762408308304805,0.6333333333333333,0.5428571428571428,35,3,0.6927552116044494,-0.05942187827111611,0.2454728370221328,0.2639451313927531,-0.03632104830970506,0.3782696177062374
2016,84794,SÃO JORGE,18,9,2.0,0.0,0.21569932812521664,0.654320987654321,0.5625,16,3,0.6591789719291236,-0.0048579842748025515,0.4225352112676056,0.21253172380418256,0.0031676043210340787,0.5412474849094567
2016,84808,ALTO ALEGRE,25,9,2.7777777777777777,0.0,0.3742543576500963,0.5277777777777778,0.5,37,5,0.6974720897273338,-0.16969431194955598,0.07645875251509054,0.2712965362013755,0.10295782144872079,0.8531187122736419
2016,84816,NOVA HARTZ,103,11,9.363636363636363,0.0,0.4503468026763915,0.7430830039525691,0.736,125,7,0.851083605692124,-0.10800060173955495,0.15492957746478872,0.5317395797563421,-0.08139277707995063,0.22334004024144868
2016,84824,DOIS LAJEADOS,33,9,3.6666666666666665,0.030303030303030304,0.49048455054550266,0.6898148148148149,0.7407407407407407,27,5,0.7291875847744931,-0.0393727699596782,0.31388329979879276,0.3216041423038578,0.16888040824164485,0.9496981891348089
2016,84832,SÃO DOMINGOS DO SUL,30,9,3.3333333333333335,0.0,0.1914764188854703,0.6428571428571429,0.6363636363636364,33,4,0.7183745500753047,-0.0755174072181618,0.20925553319919518,0.3042764157882488,-0.11279999690277853,0.1267605633802817
2016,84840,TUNAS,19,9,2.111111111111111,0.05263157894736842,0.30661157394896077,0.7444444444444445,0.9130434782608695,23,2,0.6655304371641204,0.07891400728032405,0.7686116700201208,0.22213760816599237,0.0844739657829684,0.8108651911468813
2016,84859,SÃO JOÃO DA URTIGA,24,9,2.6666666666666665,0.0,0.21204675014483976,0.762962962962963,0.8421052631578947,19,6,0.6927552116044494,0.07020775135851354,0.744466800804829,0.2639451313927531,-0.05189838124791335,0.31388329979879276
2016,84867,GUABIJU,29,9,3.2222222222222223,0.0,0.26871708319424004,0.4805555555555556,0.5348837209302325,43,4,0.7145090106779108,-0.23395345512235521,0.04024144869215292,0.2981268274817151,-0.02940974428747506,0.4044265593561368
2016,84875,QUINZE DE NOVEMBRO,33,9,3.6666666666666665,0.0,0.20354390301592273,0.6851851851851851,0.7936507936507936,63,3,0.7291875847744931,-0.04400239958930796,0.289738430583501,0.3216041423038578,-0.11806023928793508,0.1227364185110664
2016,84883,DOUTOR MAURÍCIO CARDOSO,30,9,3.3333333333333335,0.0,0.1512601057503622,0.7142857142857143,0.7209302325581395,43,3,0.7183745500753047,-0.004088835789590406,0.42655935613682094,0.3042764157882488,-0.15301631003788663,0.052313883299798795
2016,84891,CAPELA DE SANTANA,58,9,6.444444444444445,0.0,0.3022724011415845,0.7097505668934241,0.6867469879518072,83,4,0.7913538930650287,-0.0816033261716046,0.19517102615694165,0.42510371221421206,-0.12283131107262757,0.11066398390342053
2016,84905,JAQUIRANA,40,9,4.444444444444445,0.0,0.41092102070208747,0.8387096774193548,0.8181818181818182,55,4,0.7507549268047804,0.08795475061457436,0.8088531187122736,0.35673787482024993,0.054183145881837536,0.7122736418511066
2016,84913,VANINI,25,9,2.7777777777777777,0.0,0.17697879261203542,0.7673611111111112,0.875,52,4,0.6974720897273338,0.0698890213837774,0.7404426559356136,0.2712965362013755,-0.09431774358934009,0.18712273641851107
2016,84921,BOQUEIRÃO DO LEÃO,33,9,3.6666666666666665,0.0,0.4029127575110443,0.9212962962962963,0.9523809523809523,63,4,0.7291875847744931,0.1921087115218032,0.9678068410462777,0.3216041423038578,0.08130861520718646,0.806841046277666
2016,84930,FAGUNDES VARELA,16,9,1.7777777777777777,0.0,0.24949804872329562,0.6031746031746033,0.6842105263157895,19,3,0.6452863708261448,-0.042111767651541565,0.2947686116700201,0.191707581558678,0.05779046716461761,0.7263581488933601
2016,84948,ÁGUA SANTA,26,9,2.888888888888889,0.0,0.14521614941782657,0.7712418300653595,0.8823529411764706,34,4,0.7019916590021841,0.06925017106317544,0.7364185110663984,0.27837134490994003,-0.13315519549211347,0.08249496981891348
2016,84956,SILVEIRA MARTINS,25,9,2.7777777777777777,0.0,0.18407777660889324,0.704861111111111,0.7058823529411765,34,3,0.6974720897273338,0.007389021383777283,0.4788732394366197,0.2712965362013755,-0.08721875959248226,0.20925553319919518
2016,84964,IBIRAPUITÃ,34,9,3.7777777777777777,0.0,0.15904815905161973,0.7288888888888889,0.7777777777777778,54,4,0.7325574672976116,-0.0036685784087227002,0.4305835010060362,0.32704279983308293,-0.1679946407814632,0.03420523138832998
2016,84972,IBARAMA,28,9,3.111111111111111,0.0,0.2825966543658789,0.8801169590643275,0.9318181818181818,66,3,0.7104974109686949,0.16961954809563262,0.9577464788732394,0.2917694262708403,-0.009172771904961408,0.5050301810865191
2016,84980,PANTANO GRANDE,48,9,5.333333333333333,0.0,0.5750265361356874,0.7521367521367521,0.7115384615384616,52,6,0.7708574747101877,-0.0187207225734356,0.38028169014084506,0.3902092689473057,0.18481726718838176,0.959758551307847
2016,84999,IPÊ,22,9,2.4444444444444446,0.0,0.19727987169899408,0.7094017094017093,0.7037037037037037,27,3,0.6826595005980215,0.026742208803687828,0.5835010060362174,0.24831945599844993,-0.05103958429945585,0.3158953722334004
2016,85006,TRINDADE DO SUL,25,9,2.7777777777777777,0.0,0.37527323944755175,0.8125,0.9047619047619048,21,6,0.6974720897273338,0.11502791027266623,0.8943661971830986,0.2712965362013755,0.10397670324617625,0.8571428571428571
2016,85014,AGUDO,36,9,4.0,0.0,0.33773123885036016,0.691358024691358,0.5925925925925926,54,4,0.7389864436403218,-0.04762841894896386,0.27565392354124746,0.33747027347218805,0.00026096537817210663,0.5311871227364185
2016,85022,ERNESTINA,30,9,3.3333333333333335,0.0,0.12642147651448088,0.6164021164021164,0.5714285714285714,42,3,0.7183745500753047,-0.10197243367318831,0.16096579476861167,0.3042764157882488,-0.17785493927376794,0.026156941649899398
2016,85030,AJURICABA,34,9,3.7777777777777777,0.0,0.3775388251303955,0.8088888888888889,0.8490566037735849,53,5,0.7325574672976116,0.07633142159127726,0.7585513078470825,0.32704279983308293,0.05049602529731256,0.6981891348088531
2016,85049,DEZESSEIS DE NOVEMBRO,22,9,2.4444444444444446,0.0,0.2677050890929804,0.8076923076923076,0.7647058823529411,34,3,0.6826595005980215,0.1250328070942861,0.9074446680080482,0.24831945599844993,0.01938563309453048,0.6016096579476862
2016,85057,ALECRIM,24,9,2.6666666666666665,0.0,0.3412670782796192,0.7555555555555556,0.5,34,2,0.6927552116044494,0.06280034395110623,0.7122736418511066,0.2639451313927531,0.07732194688686611,0.8028169014084507
2016,85065,BROCHIER,39,9,4.333333333333333,0.0,0.21088559997743217,0.512962962962963,0.5377358490566038,53,4,0.7479368870097542,-0.2349739240467913,0.03822937625754527,0.352102626821164,-0.14121702684373183,0.07243460764587525
2016,85073,ALEGRETE,106,15,7.066666666666666,0.08490566037735849,0.6286038000927292,0.9172161172161172,0.8613861386138614,202,5,0.8539678133852859,0.06324830383083124,0.716297786720322,0.5370944377169921,0.09150936237573715,0.8329979879275654
2016,85081,EREBANGO,30,9,3.3333333333333335,0.0,0.3442111779424537,0.6798941798941799,0.8076923076923077,65,3,0.7183745500753047,-0.03848037018112482,0.317907444668008,0.3042764157882488,0.039934762154204884,0.6579476861167002
2016,85090,ALPESTRE,26,9,2.888888888888889,0.0,0.2859943809149863,0.7581699346405228,0.7777777777777778,27,3,0.7019916590021841,0.05617827563833877,0.6881287726358148,0.27837134490994003,0.007623036005046269,0.5593561368209256
2016,85103,ENTRE-IJUÍS,36,9,4.0,0.0,0.3625944679793598,0.9094650205761317,0.8648648648648649,37,5,0.7389864436403218,0.1704785769358098,0.959758551307847,0.33747027347218805,0.025124194507171738,0.6217303822937625
2016,85111,ALVORADA,281,17,16.529411764705884,0.12099644128113879,0.6656420755528931,0.9688057040998218,0.9248554913294798,346,7,0.9458393738172335,0.02296633028258832,0.5573440643863179,0.71986541681355,-0.054223341260656865,0.30784708249496984
2016,85120,NOVA ESPERANÇA DO SUL,25,9,2.7777777777777777,0.0,0.2753855821215412,0.5833333333333334,0.5625,48,3,0.6974720897273338,-0.1141387563940004,0.1448692152917505,0.2712965362013755,0.004089045920165679,0.5432595573440644
2016,85138,ANTA GORDA,18,9,2.0,0.0,0.1924721471001436,0.7407407407407407,0.8,15,3,0.6591789719291236,0.08156176881161714,0.7857142857142857,0.21253172380418256,-0.02005957670403896,0.4507042253521127
2016,85146,PAVERAMA,50,9,5.555555555555555,0.0,0.17704901176925558,0.8075880758807588,0.796875,64,5,0.7753112832631146,0.03227679261764416,0.5975855130784709,0.3977241105298306,-0.220675098760575,0.008048289738430584
2016,85154,ANTÔNIO PRADO,38,9,4.222222222222222,0.05263157894736842,0.2367194210691479,0.603448275862069,0.4921875,64,3,0.7450390965093762,-0.14159082064730721,0.10462776659959759,0.34735040311473175,-0.11063098204558386,0.13279678068410464
2016,85162,TERRA DE AREIA,30,9,3.3333333333333335,0.0,0.3803890608189635,0.7724867724867726,0.7727272727272727,88,2,0.7183745500753047,0.05411222241146785,0.6740442655935613,0.3042764157882488,0.07611264503071469,0.8008048289738431
2016,85170,ARATIBA,43,9,4.777777777777778,0.0,0.3505466952183025,0.8888888888888888,0.88,25,4,0.7587694889533518,0.130119399935537,0.9134808853118712,0.36999610883629247,-0.019449413617989963,0.45472837022132795
2016,85189,HARMONIA,30,9,3.3333333333333335,0.0,0.11443865505237483,0.8042328042328042,0.71875,16,3,0.7183745500753047,0.08585825415749948,0.8008048289738431,0.3042764157882488,-0.189837760735874,0.018108651911468814
2016,85197,ARROIO DO MEIO,52,11,4.7272727272727275,0.0,0.2466971459491485,0.8403547671840355,0.9292929292929293,99,4,0.7795737218489703,0.06078104533506512,0.7082494969818913,0.40495076421940834,-0.15825361827025985,0.05030181086519115
2016,85200,CAMPOS BORGES,35,9,3.888888888888889,0.0,0.21086805793154673,0.6901709401709402,0.8482142857142857,56,5,0.7358217278007112,-0.04565078762977104,0.2837022132796781,0.33232872444947964,-0.12146066651793291,0.11670020120724346
2016,85219,ARROIO DOS RATOS,53,9,5.888888888888889,0.018867924528301886,0.49646785825472706,0.7588383838383838,0.8043478260869565,69,5,0.7816379037859168,-0.022799519947533042,0.3682092555331992,0.4084627767358211,0.08800508151890596,0.8209255533199196
2016,85227,CERRO GRANDE,29,9,3.2222222222222223,0.0,0.26046656634593224,0.7027777777777778,0.8235294117647058,34,3,0.7145090106779108,-0.011731232900133004,0.3963782696177062,0.2981268274817151,-0.03766026113578286,0.3722334004024145
2016,85235,ARROIO DO TIGRE,35,9,3.888888888888889,0.0,0.344429120315215,0.6965811965811965,0.7666666666666667,60,4,0.7358217278007112,-0.03924053121951465,0.3158953722334004,0.33232872444947964,0.012100395865735358,0.5835010060362174
2016,85243,IPIRANGA DO SUL,25,9,2.7777777777777777,0.0,0.3110464680654472,0.7152777777777778,0.7021276595744681,47,3,0.6974720897273338,0.017805688050444024,0.53420523138833,0.2712965362013755,0.03974993186407172,0.6559356136820925
2016,85251,ARROIO GRANDE,67,9,7.444444444444445,0.1044776119402985,0.6237052229488591,0.8869731800766284,0.8586956521739131,92,4,0.806713593529203,0.08025958654742538,0.7746478873239436,0.4517926776974339,0.1719125452514252,0.9517102615694165
2016,85260,LAGOÃO,30,9,3.3333333333333335,0.0,0.3774061440838934,0.8624338624338624,0.9069767441860465,43,4,0.7183745500753047,0.14405931235855773,0.9275653923541247,0.3042764157882488,0.07312972829564457,0.7826961770623743
2016,85278,ARVOREZINHA,36,9,4.0,0.0,0.30539186812201713,0.8004115226337448,0.7028985507246377,69,3,0.7389864436403218,0.06142507899342298,0.710261569416499,0.33747027347218805,-0.032078405350170924,0.386317907444668
2016,85286,ESTAÇÃO,34,9,3.7777777777777777,0.0,0.23663681892558075,0.7911111111111111,0.9090909090909091,33,7,0.7325574672976116,0.05855364381349948,0.6971830985915493,0.32704279983308293,-0.09040598090750218,0.19517102615694165
