ano,id_candidato,nome_candidato,partido,eleito,receita_total_2024,despesa_total_2024,Audiovisual,Digital estrito,Infraestrutura e administração,Mobilização e pessoal,Publicidade tradicional,Serviços profissionais,Transferências e outros,Transporte e logística,Digital estrito — R$ 2024,Audiovisual — R$ 2024,Publicidade tradicional — R$ 2024,Mobilização e pessoal — R$ 2024,Serviços profissionais — R$ 2024,Transporte e logística — R$ 2024,Infraestrutura e administração — R$ 2024,Transferências e outros — R$ 2024
2016,210000031748,ESLAIR PEREIRA DOMINGOS,PRB,0,1353.1233026009602,1353.1233026009602,0.0,0.0,0.0,0.0,0.0,914.0,0.0,0.0,0.0,0.0,0.0,0.0,1353.1233026009602,0.0,0.0,0.0
2016,210000032512,MAIQUEL DA FONSECA FOUCHY,PDT,0,21983.05731847772,21928.799146661167,0.0,0.0,44.35,4250.0,8167.99,650.0,0.0,1700.0,0.0,0.0,12092.229326489734,6291.875312969454,962.2868125717989,2516.7501251877816,65.6575694423989,0.0
2016,210000032449,FABIANE ZURCHMINTEN RODRIGUES,PTC,0,1524.8544876137737,1524.8544876137737,0.0,0.0,0.0,0.0,0.0,1030.0,0.0,0.0,0.0,0.0,0.0,0.0,1524.8544876137737,0.0,0.0,0.0
2016,210000032409,WILMAR HAMON VEIGA NETO,PP,0,1413.821393855489,1413.821393855489,0.0,0.0,14.7,0.0,240.3,700.0,0.0,0.0,0.0,0.0,355.7500324015435,0.0,1036.3088750773218,0.0,21.76248637662376,0.0
2016,210000032259,RAFAEL DOS REIS CORREA,PROS,0,500.3891425373354,500.3891425373354,0.0,0.0,0.0,0.0,338.0,0.0,0.0,0.0,0.0,0.0,500.38914253733543,0.0,0.0,0.0,0.0,0.0
2016,210000032391,MARCOS FERREIRA INSSARRIAGA,PT,1,107984.86522430704,107971.18594715602,0.0,0.0,350.0,0.0,7308.6,1600.0,0.0,63673.16,0.0,0.0,10819.952920557307,0.0,2368.706000176736,94264.37258888333,518.1544375386609,0.0
2016,210000032418,PAULO CESAR GOMES PEREIRA,PP,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,210000031870,DANIEL TRZECIAK DUARTE,PSDB,1,49502.96491236855,49488.9007204925,1350.0,0.0,4780.35,4712.3099999999995,13819.32,2900.0,0.0,5866.5,0.0,1998.5956876491207,20458.69137647648,6976.29810730802,4293.279625320333,8685.008593773013,7077.027329965537,0.0
2016,210000032469,MARCELO GUEDES DOS SANTOS,PSB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,210000032303,CLAUDIO PRIETSCH,PTB,0,6430.66668016731,6408.4600614156525,235.0,0.0,0.0,0.0,3493.75,600.0,0.0,0.0,0.0,347.90369377595806,5172.291617573419,0.0,888.2647500662758,0.0,0.0,0.0
2016,210000032328,OSMAR HENRIQUE DUARTE CITRINI,PATRIOTA,0,592.176500044184,592.176500044184,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,592.176500044184,0.0,0.0,0.0
2016,210000032742,WELLINGTON SILVA DE BITTENCOURT,PSD,0,1424.1844826062622,2848.3689652125245,0.0,0.0,0.0,0.0,1924.0,0.0,0.0,0.0,0.0,0.0,2848.3689652125245,0.0,0.0,0.0,0.0,0.0
2016,210000031736,VERIDIANE RODRIGUES DE SOUZA,PR,0,4041.604612801555,4041.604612801555,650.0,0.0,0.0,0.0,2080.0,0.0,0.0,0.0,0.0,962.2868125717989,3079.3178002297564,0.0,0.0,0.0,0.0,0.0
2016,210000032486,MARIA ALICE NIEUWLAND DE OLIVEIRA,PDT,0,1812.0452857227017,1812.0452857227017,0.0,0.0,0.0,0.0,573.99,650.0,0.0,0.0,0.0,0.0,849.7584731509029,0.0,962.2868125717989,0.0,0.0,0.0
