ano,codigo_municipio,municipio,candidatos,eleitos,despesa_total_2024,despesa_digital_2024,despesa_nao_digital_2024,fracao_digital_agregada,taxa_adocao_digital,taxa_adocao_eleitos,taxa_adocao_nao_eleitos,diferenca_adocao_eleitos,fracao_digital_media_eleitos,fracao_digital_media_nao_eleitos,diferenca_fracao_digital_eleitos,auc_receita,auc_despesa_total,auc_despesa_nao_digital,auc_despesa_digital,delta_auc_digital,fracao_digital_agregada_residuo_tamanho,fracao_digital_agregada_percentil_ajustado,taxa_adocao_digital_residuo_tamanho,taxa_adocao_digital_percentil_ajustado,delta_auc_digital_residuo_tamanho,delta_auc_digital_percentil_ajustado
2016,84735,ÁUREA,27,9,158358.55165792807,0.0,158358.55165792807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5617283950617283,0.5617283950617283,0.5617283950617283,0.5,0.0,-0.00010759191108159146,0.6378269617706237,-0.0001260717499592124,0.6921529175050302,5.771036647464188e-05,0.6720321931589537
2016,84743,TRÊS ARROIOS,32,9,163010.74945992517,0.0,163010.74945992517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5072463768115942,0.5072463768115942,0.5072463768115942,0.5,0.0,-0.00015382663821862086,0.46981891348088534,-0.00028130279026808566,0.48390342052313884,4.941789328308258e-05,0.5100603621730382
2016,84751,NOVA ROMA DO SUL,25,9,44184.34648163422,0.0,44184.34648163422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6180555555555556,0.6111111111111112,0.6111111111111112,0.5,0.0,-9.275381181979697e-05,0.7012072434607646,-8.862743996724572e-05,0.7977867203219315,6.175386645684119e-05,0.7334004024144869
2016,84760,PROGRESSO,38,9,54287.751032725566,0.0,54287.751032725566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7873563218390804,0.789272030651341,0.789272030651341,0.5,0.0,-0.00021968313124673424,0.32595573440643866,-0.000541180775437968,0.3319919517102616,4.1936585783334904e-05,0.3722334004024145
2016,84778,PIRAPÓ,21,9,67519.26872765031,0.0,67519.26872765031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6574074074074074,0.6574074074074074,0.6574074074074074,0.5,0.0,-7.3023112071133e-05,0.8621730382293763,-7.849102885157103e-05,0.8279678068410463,7.156013800602988e-05,0.8661971830985915
2016,84786,JABOTICABA,24,9,79596.3975533889,0.0,79596.3975533889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.5,0.0,-8.641435119731845e-05,0.755533199195171,-7.700469124165385e-05,0.8561368209255533,6.397012158673103e-05,0.7756539235412475
2016,84794,SÃO JORGE,18,9,52773.777788300096,0.0,52773.777788300096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.654320987654321,0.654320987654321,0.654320987654321,0.5,0.0,-7.136463698981445e-05,0.886317907444668,-0.0001543670890462443,0.6287726358148893,8.095511392154583e-05,0.9346076458752515
2016,84808,ALTO ALEGRE,25,9,45864.069928422046,0.0,45864.069928422046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5277777777777778,0.5277777777777778,0.5277777777777778,0.5,0.0,-9.275381181979697e-05,0.7012072434607646,-8.862743996724572e-05,0.7977867203219315,6.175386645684119e-05,0.7334004024144869
2016,84816,NOVA HARTZ,103,11,608416.5408387581,0.0,608416.5408387581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7430830039525691,0.7435770750988141,0.7435770750988141,0.5,0.0,-0.0009896972568953074,0.06639839034205232,-0.00414259886071472,0.05835010060362173,1.7334034772634222e-05,0.07042253521126761
2016,84824,DOIS LAJEADOS,33,9,28721.285668355475,0.0,28721.285668355475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6898148148148149,0.6828703703703703,0.6828703703703703,0.5,0.0,-0.00016420075464760036,0.44668008048289737,-0.0003201927639547311,0.4607645875251509,4.8010671392986836e-05,0.4869215291750503
2016,84832,SÃO DOMINGOS DO SUL,30,9,57705.12759241804,0.0,57705.12759241804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6428571428571429,0.6428571428571428,0.6428571428571428,0.5,0.0,-0.0001340667680352351,0.5392354124748491,-0.00021050321478756752,0.5633802816901409,5.246412089028307e-05,0.5754527162977867
2016,84840,TUNAS,19,9,72380.78611800054,0.0,72380.78611800054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7444444444444445,0.7444444444444445,0.7444444444444445,0.5,0.0,-7.028032636912046e-05,0.9336016096579477,-0.00011880714247054497,0.7223340040241448,7.758411821868347e-05,0.9054325955734407
2016,84859,SÃO JOÃO DA URTIGA,24,9,107517.37148634717,0.0,107517.37148634717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.762962962962963,0.762962962962963,0.762962962962963,0.5,0.0,-8.641435119731845e-05,0.755533199195171,-7.700469124165385e-05,0.8561368209255533,6.397012158673103e-05,0.7756539235412475
2016,84867,GUABIJU,29,9,57527.01570561724,0.0,57527.01570561724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4805555555555556,0.4805555555555556,0.4805555555555556,0.5,0.0,-0.0001247674792298027,0.5724346076458753,-0.00017913262840498086,0.5985915492957746,5.411540044338538e-05,0.6096579476861167
2016,84875,QUINZE DE NOVEMBRO,33,9,68733.7635115909,0.0,68733.7635115909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6851851851851851,0.6851851851851851,0.6851851851851851,0.5,0.0,-0.00016420075464760036,0.44668008048289737,-0.0003201927639547311,0.4607645875251509,4.8010671392986836e-05,0.4869215291750503
2016,84883,DOUTOR MAURÍCIO CARDOSO,30,9,118781.1458892751,0.0,118781.1458892751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5,0.0,-0.0001340667680352351,0.5392354124748491,-0.00021050321478756752,0.5633802816901409,5.246412089028307e-05,0.5754527162977867
2016,84891,CAPELA DE SANTANA,58,9,78926.43867006392,0.0,78926.43867006392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7097505668934241,0.7097505668934241,0.7097505668934241,0.5,0.0,-0.0004647803795998211,0.1720321931589537,-0.0016286115467192594,0.1619718309859155,2.7525288560445177e-05,0.21026156941649898
2016,84905,JAQUIRANA,40,9,46976.02935138001,0.0,46976.02935138001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8387096774193548,0.8387096774193548,0.8387096774193548,0.5,0.0,-0.00024309454401840475,0.2887323943661972,-0.0006389919942901376,0.29074446680080485,3.9883237070738695e-05,0.3329979879275654
2016,84913,VANINI,25,9,28325.978245750975,0.0,28325.978245750975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7673611111111112,0.7256944444444445,0.7256944444444445,0.5,0.0,-9.275381181979697e-05,0.7012072434607646,-8.862743996724572e-05,0.7977867203219315,6.175386645684119e-05,0.7334004024144869
