ano,indicador_digital,variavel_contextual,rho_spearman,p_valor,municipios
2016,fracao_digital_agregada,auc_receita,0.29306039006289214,2.6692474117897132e-11,497
2016,fracao_digital_agregada,candidatos,0.3901032463634897,1.6352552294702685e-19,497
2016,fracao_digital_agregada,populacao_2022,0.39205606462496934,1.0414737894309475e-19,497
2016,fracao_digital_agregada,urbanizacao_2022,0.3430639913400005,3.577794289323487e-15,497
2016,fracao_digital_agregada,pib_per_capita_2023,0.14526318571533658,0.0011641904247430548,497
2016,fracao_digital_agregada,idhm_2010,0.19307795875008324,1.4910239216255048e-05,496
2016,fracao_digital_agregada,gini_renda_2010,0.07102910269452095,0.11413023979339468,496
2016,taxa_adocao_digital,auc_receita,0.29286643964819153,2.754393153455535e-11,497
2016,taxa_adocao_digital,candidatos,0.3899808687787415,1.6819802340563052e-19,497
2016,taxa_adocao_digital,populacao_2022,0.3918789074889133,1.085119251282238e-19,497
2016,taxa_adocao_digital,urbanizacao_2022,0.3423235372165977,4.13363776288924e-15,497
2016,taxa_adocao_digital,pib_per_capita_2023,0.1458931674500344,0.0011072773007320899,497
2016,taxa_adocao_digital,idhm_2010,0.19188717803595565,1.6865569438421182e-05,496
2016,taxa_adocao_digital,gini_renda_2010,0.07157299472609632,0.11137870009626484,496
2016,delta_auc_digital,auc_receita,-0.06383778552720665,0.15530697321206016,497
2016,delta_auc_digital,candidatos,-0.09766427467965402,0.029480386877976446,497
2016,delta_auc_digital,populacao_2022,-0.10222959543378918,0.022649778636142738,497
2016,delta_auc_digital,urbanizacao_2022,-0.10422537374439192,0.02012388880830297,497
2016,delta_auc_digital,pib_per_capita_2023,-0.03550102790463904,0.4297040730099043,497
2016,delta_auc_digital,idhm_2010,-0.0643508695500271,0.15242177580567223,496
2016,delta_auc_digital,gini_renda_2010,-0.06002020661286856,0.1820255745922455,496
2020,fracao_digital_agregada,auc_receita,0.4958475754656909,3.3504804934964535e-32,497
2020,fracao_digital_agregada,candidatos,0.5713028866268675,2.1249916617802827e-44,497
2020,fracao_digital_agregada,populacao_2022,0.6563867302579977,1.4320222887284801e-62,497
2020,fracao_digital_agregada,urbanizacao_2022,0.5884115007651475,1.2621183967848354e-47,497
2020,fracao_digital_agregada,pib_per_capita_2023,0.18068925498412003,5.090186246154457e-05,497
2020,fracao_digital_agregada,idhm_2010,0.2802365395447254,2.1094343624047758e-10,496
2020,fracao_digital_agregada,gini_renda_2010,0.11021920702856651,0.014049638253948999,496
2020,taxa_adocao_digital,auc_receita,0.49265444343664727,9.480200100100004e-32,497
2020,taxa_adocao_digital,candidatos,0.5695794198205624,4.3848322438963387e-44,497
2020,taxa_adocao_digital,populacao_2022,0.6607405592214232,1.1604216990528194e-63,497
2020,taxa_adocao_digital,urbanizacao_2022,0.594705188872451,7.332768411158247e-49,497
2020,taxa_adocao_digital,pib_per_capita_2023,0.19045823320924818,1.9158653137683628e-05,497
2020,taxa_adocao_digital,idhm_2010,0.2959851900230975,1.7370584562695665e-11,496
2020,taxa_adocao_digital,gini_renda_2010,0.11905566266237322,0.007948448315663395,496
2020,delta_auc_digital,auc_receita,-0.03185937851018894,0.4785426756315836,497
2020,delta_auc_digital,candidatos,-0.09155686023767383,0.04132344540145005,497
2020,delta_auc_digital,populacao_2022,-0.07948649338524358,0.0766652094048969,497
2020,delta_auc_digital,urbanizacao_2022,-0.06862490115078376,0.1265526862400892,497
2020,delta_auc_digital,pib_per_capita_2023,-0.06868032977528432,0.1262457828754266,497
2020,delta_auc_digital,idhm_2010,-0.028139869034036334,0.5318088057083403,496
2020,delta_auc_digital,gini_renda_2010,-0.05274827675666815,0.2409512975544551,496
2024,fracao_digital_agregada,auc_receita,0.4818962795090155,2.91182445746248e-30,497
2024,fracao_digital_agregada,candidatos,0.5786053196887255,9.409412333388484e-46,497
2024,fracao_digital_agregada,populacao_2022,0.6105028114035548,4.365772150349704e-52,497
2024,fracao_digital_agregada,urbanizacao_2022,0.5206638494411316,7.034120598013681e-36,497
2024,fracao_digital_agregada,pib_per_capita_2023,0.08331941266140634,0.06344896807467075,497
2024,fracao_digital_agregada,idhm_2010,0.14764431364414468,0.0009737947918219738,496
2024,fracao_digital_agregada,gini_renda_2010,0.14590117728999358,0.0011195210973979311,496
2024,taxa_adocao_digital,auc_receita,0.5171930063083591,2.3986375905210807e-35,497
2024,taxa_adocao_digital,candidatos,0.6023470005915966,2.126211837651912e-50,497
2024,taxa_adocao_digital,populacao_2022,0.6674114177179481,2.2729754386128252e-65,497
2024,taxa_adocao_digital,urbanizacao_2022,0.573135810065747,9.788977527908925e-45,497
2024,taxa_adocao_digital,pib_per_capita_2023,0.09687077333978922,0.03083227065803549,497
2024,taxa_adocao_digital,idhm_2010,0.19051666412108148,1.9417357321152102e-05,496
2024,taxa_adocao_digital,gini_renda_2010,0.1480828219290017,0.0009400013270019479,496
2024,delta_auc_digital,auc_receita,-0.020145415918499776,0.6541341663467395,497
2024,delta_auc_digital,candidatos,-0.009671803244216525,0.829704621347969,497
2024,delta_auc_digital,populacao_2022,0.019276047829181287,0.6681500915096956,497
2024,delta_auc_digital,urbanizacao_2022,0.012435473252432066,0.7821311839317965,497
2024,delta_auc_digital,pib_per_capita_2023,0.04030389349988078,0.3699235337614208,497
2024,delta_auc_digital,idhm_2010,0.030161707087765204,0.5027361945655374,496
2024,delta_auc_digital,gini_renda_2010,-0.03604950908653026,0.4230764126554586,496
