ano,candidatos,vagas,candidatos_por_vaga,percentil_rs_candidatos_por_vaga,fracao_receita_zero,percentil_rs_receita_zero,fracao_nao_eleitos_receita_zero,fracao_eleitos_receita_zero,gini_receita,percentil_rs_gini_receita,gini_esperado_pelo_numero_candidatos,percentil_gini_ajustado_numero_candidatos,participacao_top_10pct_candidatos,auc_receita_bruta,percentil_rs_auc_bruta,auc_esperada_pelo_numero_candidatos,auc_residuo_numero_candidatos,percentil_ajustado_numero_candidatos,auc_dentro_do_mesmo_partido,reducao_auc_ao_controlar_partido,incumbentes_identificados,incumbentes_eleitos,auc_receita_sem_incumbentes
2016,337,21,16.047619047619047,0.9889336016096579,0.18397626112759644,0.9828973843058351,0.1962025316455696,0.0,0.7660121582967518,0.9949698189134809,0.754092034484668,0.5814889336016097,0.6394203740390658,0.9567510548523206,0.9828973843058351,0.9616295773048823,-0.004878522452561707,0.42052313883299797,0.953810623556582,0.0029404312957386214,0,0,
2020,425,21,20.238095238095237,0.9869215291750503,0.08941176470588236,0.8702213279678068,0.09405940594059406,0.0,0.6759513010938447,0.9668008048289738,0.6897861758505922,0.4869215291750503,0.5147178517510043,0.9222065063649222,0.9647887323943662,0.9400930984820014,-0.017886592117079214,0.41851106639839036,0.8475836431226765,0.07462286324224565,15,7,0.9408369408369409
2024,252,21,12.0,0.9728370221327968,0.04365079365079365,0.7877263581488934,0.047619047619047616,0.0,0.603510000500473,0.9668008048289738,0.6141032338845789,0.4708249496981891,0.4067829288625611,0.9204287775716347,0.9788732394366197,0.9210798704921664,-0.0006510929205317817,0.482897384305835,0.8924418604651163,0.02798691710651835,17,11,0.9235555555555556
