ano,recorte,candidatos,eleitos,despesa_total_2024,despesa_digital_2024,despesa_impulsionamento_2024,despesa_paginas_internet_2024,fracao_digital_agregada,taxa_adocao_digital,auc_despesa_total,auc_despesa_nao_digital,auc_despesa_digital,percentil_municipal_fracao_digital,percentil_municipal_adocao_digital,percentil_ajustado_fracao_digital,percentil_ajustado_adocao_digital,percentil_municipal_delta_auc
2016,Rio Grande do Sul,25622,4910,122787123.53534861,221171.3496073522,0.0,221171.3496073522,0.0018012584971394026,0.004254156584185466,0.7166427325698023,0.7168071344455117,0.5015282864838629,,,,,
2016,Pelotas,337,21,2068871.1678741642,2960.8825002209196,0.0,2960.8825002209196,0.001431158472406635,0.005934718100890208,0.956298975286317,0.9564496684749849,0.5223025919228451,0.9507042253521126,0.9305835010060363,0.04225352112676056,0.022132796780684104,0.023138832997987926
2020,Rio Grande do Sul,30311,4903,90081956.04082102,4856871.395832991,3912380.93515715,944490.4606758401,0.05391614047137342,0.08491966612780838,0.6693977216565604,0.6720887098887176,0.5163159388484201,,,,,
2020,Pelotas,425,21,2503316.1690456998,237531.76183831913,211352.3656205637,26179.396217755402,0.09488684041411743,0.26588235294117646,0.8916784535596417,0.8860796793965111,0.6481612446958982,0.9708249496981891,0.9708249496981891,0.8772635814889336,0.9275653923541247,0.9124748490945674
2024,Rio Grande do Sul,26041,4903,140854376.51999998,8111132.85,7149680.43,961452.42,0.05758523838872906,0.11954226028186321,0.6123386999492297,0.6158282826101611,0.5129008923171019,,,,,
2024,Pelotas,252,21,3997765.06,447235.42000000004,414208.79000000004,33026.630000000005,0.11187136144513705,0.4365079365079365,0.9154813440527726,0.9020820449391878,0.8356009070294784,0.9808853118712274,0.9889336016096579,0.9195171026156942,0.959758551307847,0.9446680080482898
