ano,grupo_despesa,valor_total_2024,fracao_da_despesa_total,auc_eleicao,taxa_adocao_eleitos,taxa_adocao_nao_eleitos,mediana_eleitos_2024,mediana_nao_eleitos_2024,media_eleitos_2024,media_nao_eleitos_2024
2016,Digital estrito,2960.8825002209196,0.001431158472406635,0.5223025919228451,0.047619047619047616,0.0031645569620253164,0.0,0.0,105.74580357931856,2.342470332453259
2016,Audiovisual,55050.20788535745,0.02660881389822036,0.726491862567812,0.5714285714285714,0.12025316455696203,444.1323750331379,0.0,627.4251012372902,132.51354670688087
2016,Publicidade tradicional,919118.2116362778,0.44426072822151763,0.9457504520795661,1.0,0.6455696202531646,13170.745581607705,695.807387551916,15341.100653150594,1889.0984111396058
2016,Mobilização e pessoal,202207.51897876227,0.0977380912444816,0.7850361663652803,0.6190476190476191,0.07911392405063292,3126.691920233291,0.0,4933.079100492476,312.0660059127224
2016,Serviços profissionais,198824.37022077234,0.09610282810653269,0.7494725738396624,0.8095238095238095,0.5253164556962026,962.2868125717989,296.088250022092,2743.679914696975,446.8578861143539
2016,Transporte e logística,535723.5592699343,0.25894486210101164,0.8787673297166967,0.9047619047619048,0.17721518987341772,3271.775162744116,0.0,10011.59040464759,1030.000508773212
2016,Infraestrutura e administração,69670.97164938584,0.033675838656002516,0.88456901748041,0.8571428571428571,0.189873417721519,741.4197824678193,0.0,1932.6145360477688,92.04451389994523
2016,Transferências e outros,85315.44573345312,0.0412376792998269,0.5510849909584087,0.23809523809523808,0.14556962025316456,0.0,0.0,508.0479586045735,236.22290697075022
2020,Digital estrito,237531.76183831913,0.09488684041411743,0.6481612446958982,0.47619047619047616,0.25495049504950495,0.0,0.0,2988.385983710057,432.6130103475445
2020,Audiovisual,136861.1290011254,0.05467193105427783,0.6793375766148043,0.47619047619047616,0.14603960396039603,0.0,0.0,1131.1711565455219,279.96667008334015
2020,Publicidade tradicional,1042254.045778247,0.4163493443880759,0.9136020744931636,1.0,0.5445544554455446,12769.402067258537,236.78190073039949,10993.990673339318,2008.3669347478246
2020,Mobilização e pessoal,505805.26719881134,0.20205408867375774,0.7166430928807166,0.6190476190476191,0.28217821782178215,2282.357561712504,0.0,6035.234238174222,938.2805648444373
2020,Serviços profissionais,320169.38271062425,0.12789810039563537,0.7422795851013673,0.7142857142857143,0.30445544554455445,1035.1121343405441,0.0,2114.382891697866,682.5924306558641
2020,Transporte e logística,88486.09500364096,0.03534755062017322,0.8333333333333333,0.7619047619047619,0.15099009900990099,646.9450839628402,0.0,1729.6033690074266,129.119862016052
2020,Infraestrutura e administração,91416.13516671203,0.03651801410349264,0.7874823196605375,0.8571428571428571,0.44554455445544555,173.3942214037204,0.0,1114.1577331136498,168.36342270130046
2020,Transferências e outros,80792.3523482196,0.0322741303504698,0.48019801980198024,0.047619047619047616,0.08663366336633663,0.0,0.0,16.758958365513575,199.1099361944154
2024,Digital estrito,447235.42000000004,0.11187136144513705,0.8356009070294784,0.9047619047619048,0.3939393939393939,5900.0,0.0,7767.045714285714,1229.9890043290043
2024,Audiovisual,195987.58000000002,0.049024286584764945,0.6703772418058132,0.5714285714285714,0.2943722943722944,800.0,0.0,1413.4885714285715,719.9321212121213
2024,Publicidade tradicional,1516367.1,0.3793037052557561,0.9207379921665636,1.0,0.8268398268398268,19760.0,1830.0,22487.047142857144,4520.082727272727
2024,Mobilização e pessoal,930278.0499999999,0.2326995298718229,0.6672850958565244,0.6190476190476191,0.4458874458874459,7020.0,0.0,9834.39238095238,3133.1420346320347
2024,Serviços profissionais,474070.01,0.11858375939680657,0.6753246753246753,0.7142857142857143,0.41125541125541126,1019.9,0.0,4321.272380952381,1659.4081818181817
2024,Transporte e logística,152272.9,0.03808950694066049,0.6642960214388786,0.5238095238095238,0.23376623376623376,431.33000000000004,0.0,1394.0638095238096,532.4569696969697
2024,Infraestrutura e administração,183265.82,0.045842068568181446,0.6714079571222429,0.5238095238095238,0.2554112554112554,800.0,0.0,2908.0738095238094,528.9881818181818
2024,Transferências e outros,98288.18000000001,0.0245857819368705,0.6202844774273346,0.38095238095238093,0.16883116883116883,0.0,0.0,2053.2452380952377,238.8312987012987
