ano,ideologia,fonte,candidatos,eleitos,taxa_eleicao,recebedores,taxa_acesso,valor_total_nominal,valor_eleitos_nominal,participacao_fonte_para_eleitos,participacao_na_receita_bloco,media_por_candidato,mediana_entre_recebedores
2016,Centro,Pessoas físicas,7984,1539,0.19276052104208416,5554,0.6956412825651302,8170929.55,3010562.15,0.36844793870484416,0.3305581906649722,1023.4130197895792,500.0
2016,Centro,Recursos próprios,7984,1539,0.19276052104208416,6128,0.7675350701402806,12716536.99,4657713.6,0.36627217014055957,0.5144525397283094,1592.7526290080161,1167.9
2016,Centro,Fundo Partidário,7984,1539,0.19276052104208416,2703,0.33855210420841686,888600.29,208352.95,0.2344731960418334,0.035948676621103605,111.29763151302606,184.0
2016,Centro,FEFC,7984,1539,0.19276052104208416,0,0.0,0.0,0.0,,0.0,0.0,
2016,Centro,Transferências políticas,7984,1539,0.19276052104208416,3007,0.37662825651302606,2933355.83,355610.86,0.12123004524820978,0.11867007172291037,367.4042873246493,300.0
2016,Centro,Financiamento coletivo,7984,1539,0.19276052104208416,0,0.0,0.0,0.0,,0.0,0.0,
2016,Centro,Empresas,7984,1539,0.19276052104208416,0,0.0,0.0,0.0,,0.0,0.0,
2016,Centro,Outros,7984,1539,0.19276052104208416,21,0.002630260521042084,9158.76,7343.390000000001,0.8017886700819763,0.00037052126270440317,1.1471392785571142,14.0
2016,Direita,Pessoas físicas,9186,1848,0.20117570215545394,6229,0.6780971042891356,9618254.919999998,3445199.74,0.358193847912694,0.32432253117718657,1047.055837143479,582.0
2016,Direita,Recursos próprios,9186,1848,0.20117570215545394,7068,0.7694317439581972,14094509.14,5298907.33,0.3759554360755837,0.47525948501111176,1534.3467385151318,1086.105
2016,Direita,Fundo Partidário,9186,1848,0.20117570215545394,3730,0.40605268887437407,3827658.7,1508033.96,0.3939833925109362,0.12906665173586185,416.6839429566732,208.75
2016,Direita,FEFC,9186,1848,0.20117570215545394,0,0.0,0.0,0.0,,0.0,0.0,
2016,Direita,Transferências políticas,9186,1848,0.20117570215545394,3424,0.37274112780317875,2114025.24,382707.5,0.18103260678193225,0.07128382669329994,230.13555845852386,300.0
2016,Direita,Financiamento coletivo,9186,1848,0.20117570215545394,0,0.0,0.0,0.0,,0.0,0.0,
2016,Direita,Empresas,9186,1848,0.20117570215545394,0,0.0,0.0,0.0,,0.0,0.0,
2016,Direita,Outros,9186,1848,0.20117570215545394,23,0.0025038101458741565,2001.9699999999998,795.58,0.3973985624160203,6.750538253989136e-05,0.21793707816242106,19.02
2016,Esquerda,Pessoas físicas,8452,1523,0.1801940369143398,6003,0.7102460955986749,10902318.940000001,3695583.4299999997,0.33897223612135485,0.3790046151465779,1289.9099550402273,600.0
2016,Esquerda,Recursos próprios,8452,1523,0.1801940369143398,6605,0.7814718409843824,14879721.65,5352109.4,0.3596915000086712,0.517273729422417,1760.4971190250828,1190.0
2016,Esquerda,Fundo Partidário,8452,1523,0.1801940369143398,1794,0.21225745385707526,885303.99,254988.74,0.28802393627526746,0.030776415537305847,104.74491126360624,166.33
2016,Esquerda,FEFC,8452,1523,0.1801940369143398,0,0.0,0.0,0.0,,0.0,0.0,
2016,Esquerda,Transferências políticas,8452,1523,0.1801940369143398,3194,0.37789872219592996,2093095.57,355442.94,0.16981687080824504,0.07276368315205949,247.64500354945577,350.0
2016,Esquerda,Financiamento coletivo,8452,1523,0.1801940369143398,0,0.0,0.0,0.0,,0.0,0.0,
2016,Esquerda,Empresas,8452,1523,0.1801940369143398,0,0.0,0.0,0.0,,0.0,0.0,
2016,Esquerda,Outros,8452,1523,0.1801940369143398,21,0.0024846190250828208,5222.6,1229.06,0.23533489066748361,0.00018155674163982196,0.6179129200189305,110.0
2020,Centro,Pessoas físicas,7702,1434,0.18618540638795117,3715,0.4823422487665541,7756169.9399999995,2999830.9000000004,0.38676704136268586,0.3134817992342765,1007.0332303297844,864.5
2020,Centro,Recursos próprios,7702,1434,0.18618540638795117,5064,0.6574915606336017,6704395.569999999,2109470.17,0.31463987289759515,0.27097214247756835,870.4746260711503,900.0
2020,Centro,Fundo Partidário,7702,1434,0.18618540638795117,948,0.12308491300960789,586021.5900000001,73426.70999999999,0.1252969365855616,0.02368528588780915,76.08693715917944,117.41499999999999
2020,Centro,FEFC,7702,1434,0.18618540638795117,2823,0.3665281745001298,7783870.73,1152487.6900000002,0.14806100075097214,0.31460138448789865,1010.6298013502986,1045.0
2020,Centro,Transferências políticas,7702,1434,0.18618540638795117,2628,0.34121007530511555,1729029.34,377707.61,0.21845066550461195,0.06988233014812639,224.49095559594912,337.5
2020,Centro,Financiamento coletivo,7702,1434,0.18618540638795117,48,0.006232147494157362,172902.67,66474.55,0.3844622526650398,0.006988222344701536,22.449061282783696,1646.775
2020,Centro,Empresas,7702,1434,0.18618540638795117,0,0.0,0.0,0.0,,0.0,0.0,
2020,Centro,Outros,7702,1434,0.18618540638795117,25,0.003245910153206959,9620.57,3353.58,0.34858433543958417,0.0003888354196194035,1.249100233705531,200.0
2020,Direita,Pessoas físicas,13740,2116,0.15400291120815138,5854,0.42605531295487625,13337080.84,4827708.76,0.36197641882179665,0.2963539545545638,970.675461426492,800.0
2020,Direita,Recursos próprios,13740,2116,0.15400291120815138,8229,0.5989082969432314,10163843.049999999,3007323.11,0.2958844499276285,0.22584365480530588,739.7265684133915,805.0
2020,Direita,Fundo Partidário,13740,2116,0.15400291120815138,707,0.051455604075691413,1028210.8099999999,87285.16,0.08489033489153845,0.02284715398480341,74.83339228529839,496.0
2020,Direita,FEFC,13740,2116,0.15400291120815138,5655,0.4115720524017467,17436489.270000003,2920825.61,0.16751225345720064,0.38744404496784324,1269.0312423580788,1210.0
2020,Direita,Transferências políticas,13740,2116,0.15400291120815138,4084,0.29723435225618633,2763744.87,555938.75,0.20115414994872519,0.06141124369194338,201.14591484716158,319.645
2020,Direita,Financiamento coletivo,13740,2116,0.15400291120815138,99,0.007205240174672489,249916.40999999997,85422.68,0.34180500592178004,0.005553217926778326,18.188967248908295,1064.0
2020,Direita,Empresas,13740,2116,0.15400291120815138,0,0.0,0.0,0.0,,0.0,0.0,
2020,Direita,Outros,13740,2116,0.15400291120815138,43,0.0031295487627365356,24604.98,6383.55,0.2594413813788916,0.0005467300687618799,1.7907554585152838,150.2
2020,Esquerda,Pessoas físicas,8869,1353,0.1525538392152441,4278,0.4823542676739204,8980682.65,3248466.6399999997,0.3617171173507617,0.3083224409887468,1012.5924737850942,780.0
2020,Esquerda,Recursos próprios,8869,1353,0.1525538392152441,5682,0.640658473334085,7278644.23,2181427.0,0.29970238015054074,0.24988850442034685,820.6837557785545,815.6
2020,Esquerda,Fundo Partidário,8869,1353,0.1525538392152441,1967,0.2217837411207577,947058.47,189889.77000000002,0.20050480093377976,0.032514162966160234,106.78300484834817,174.0
2020,Esquerda,FEFC,8869,1353,0.1525538392152441,4875,0.5496673807644605,9978149.379999999,1820894.87,0.18248823510798154,0.3425672071144781,1125.059125042282,750.0
2020,Esquerda,Transferências políticas,8869,1353,0.1525538392152441,2866,0.3231480437478859,1539135.22,282926.93,0.1838220101285188,0.05284118663764962,173.54101026045777,248.91
2020,Esquerda,Financiamento coletivo,8869,1353,0.1525538392152441,155,0.017476603901229,395571.54999999993,175099.84,0.4426502360950883,0.013580658690985152,44.60159544480775,1130.0
2020,Esquerda,Empresas,8869,1353,0.1525538392152441,0,0.0,0.0,0.0,,0.0,0.0,
2020,Esquerda,Outros,8869,1353,0.1525538392152441,31,0.0034953207802458,8325.800000000001,2924.1099999999997,0.3512106944677988,0.0002858391816332702,0.938752959747435,100.0
2024,Centro,Pessoas físicas,6287,1437,0.22856688404644504,2472,0.3931923015746779,8458016.13,3479640.59,0.41140150793256997,0.22378668676552682,1345.3182964848102,1050.0
2024,Centro,Recursos próprios,6287,1437,0.22856688404644504,3144,0.5000795291872117,5457665.9399999995,1797806.42,0.32940939217690557,0.14440182655287326,868.0874725624303,1000.0
2024,Centro,Fundo Partidário,6287,1437,0.22856688404644504,218,0.03467472562430412,475002.10000000003,141033.0,0.2969102662914543,0.012567858057001299,75.55306187370766,1500.0
2024,Centro,FEFC,6287,1437,0.22856688404644504,4639,0.7378717989502147,22179493.02,5472468.06,0.246735489177561,0.58683681619852,3527.834105296644,2500.0
2024,Centro,Transferências políticas,6287,1437,0.22856688404644504,1248,0.19850485128041992,1160339.32,269038.68999999994,0.23186208151594823,0.03070087452606506,184.5616860187689,529.66
2024,Centro,Financiamento coletivo,6287,1437,0.22856688404644504,26,0.004135517735008748,54645.130000000005,25387.13,0.4645817477239051,0.0014458298970602096,8.6917655479561,1076.6950000000002
2024,Centro,Empresas,6287,1437,0.22856688404644504,0,0.0,0.0,0.0,,0.0,0.0,
2024,Centro,Outros,6287,1437,0.22856688404644504,22,0.0034992842373150947,9830.78,5201.22,0.529075007273075,0.0002601080029532653,1.563667886114204,132.775
2024,Direita,Pessoas físicas,13024,2378,0.18258599508599507,4764,0.3657862407862408,14851350.0,5728399.119999999,0.38571571742636185,0.1734762077384883,1140.3063574938576,1100.0
2024,Direita,Recursos próprios,13024,2378,0.18258599508599507,5954,0.45715601965601965,8950305.129999999,2870876.36,0.32075737288299583,0.10454706084327264,687.2163029791154,1000.0
2024,Direita,Fundo Partidário,13024,2378,0.18258599508599507,899,0.06902641277641278,2346919.59,463326.54000000004,0.19741900914466357,0.027413986630196428,180.19959996928745,933.5
