ano,receita_2024,probabilidade_media_municipal,probabilidade_mediana_municipal
2016,0.0,0.036657089086135,0.02245079905257206
2016,50.0,0.03987200229634808,0.02460807449855767
2016,52.31417066040228,0.04002299655218253,0.02471004164057539
2016,54.735449037713906,0.040181183380241965,0.024816927727353912
2016,57.26879244265435,0.04034691441946948,0.024928979130803774
2016,59.91938762720353,0.04052055927523494,0.025046455369178138
2016,62.69266140392646,0.04070250649910563,0.02516962987651681
2016,65.59429175679648,0.040893164626301826,0.02529879082234461
2016,68.6302194662654,0.041092963274435755,0.025434241985248025
2016,71.80666027238144,0.04130235430735402,0.025576303684231208
2016,75.13011760085783,0.04152181306813553,0.025725313772051905
2016,78.6073958781474,0.0417518396855399,0.025881628695058882
2016,82.24561446278413,0.041992960458454444,0.026045624624398963
2016,86.0522222215148,0.04224572932315251,0.026217698663833805
2016,90.03501278006375,0.042510729408448314,0.026398270139805904
2016,94.20214047975512,0.04278857468411731,0.02658778197982354
2016,98.562137072662,0.043079911708240874,0.026786702185694247
2016,103.12392918946406,0.04338542147943168,0.026995525408630903
2016,107.89685661577728,0.043705821400198554,0.027214774633783346
2016,112.89069141437457,0.04404186735801459,0.027445002982314663
2016,118.11565793244806,0.04439435593095765,0.02768679563974632
2016,123.58245373487574,0.04476412672509478,0.02794077191994211
2016,129.3022715063512,0.04515206485107749,0.028207587474789464
2016,135.28682196721857,0.045559103547698744,0.028487936660368647
2016,141.54835784993065,0.04598622696042952,0.028782555071179314
2016,148.09969898521933,0.04643447308319607,0.029092222254818185
2016,154.95425854933944,0.04690493687187116,0.02941776462037418
2016,162.12607052612486,0.04739877353812447,0.029760058554728384
2016,169.62981844008212,0.0479172020323995,0.03012003376191434
2016,177.4808654193504,0.04846150872484234,0.03049867684170961
2016,185.69528565007556,0.049033051292991486,0.030897035124690823
2016,194.28989728660432,0.04963326282492862,0.031316220782088185
2016,203.28229688486877,0.05026365614637013,0.031757415229916736
2016,212.690895429472,0.05092582837983116,0.03222187384803841
2016,222.5349560282233,0.05162146574348882,0.03271093103600867
2016,232.83463335131208,0.0523523485966902,0.033226005628779844
2016,243.61101489585445,0.0531203567381575,0.0337686066965532
2016,254.88616416031093,0.05392747496181152,0.0343403397542827
2016,266.6831658171561,0.05477579887372266,0.034942913407510906
2016,279.0261729763016,0.05566754097197368,0.03557814646234399
2016,291.94045663602316,0.056605036989128235,0.03624797552841441
2016,305.4524574226541,0.05759075249450661,0.03695446314460738
2016,319.58983972495946,0.05862728975051093,0.03769980645809299
2016,334.38154833404286,0.05971739481377735,0.038486346487769774
2016,349.8578677047335,0.060863964867886665,0.039316578003517975
2016,366.05048395979753,0.062070055769691455,0.04019316005262343
2016,382.9925497639139,0.06333888978594318,0.04111892716427662
2016,400.7187522002402,0.06467386349076665,0.042096901262085915
2016,419.26538378853644,0.06607855578756727,0.043130304312956336
2016,438.6704167902512,0.06755673601110165,0.044222571738346844
2016,458.9735809527,0.06911237205664016,0.04537736661068361
2016,480.2164448515103,0.07074963847334338,0.04659859465340025
2016,502.44250099787143,0.07247292444812098,0.047890420057505365
2016,525.6972548848399,0.0742868415943118,0.04925728212051998
2016,550.0283181550103,0.07619623144650198,0.05070391270482896
2016,575.4855060803051,0.07820617254869484,0.052235354501668586
2016,602.1209395534612,0.08032198700789842,0.05385698007380815
2016,629.9891518000308,0.08254924636907518,0.055574511634123774
2016,659.1472000293779,0.08489377665041666,0.05739404149831706
2016,689.654782253264,0.08736166236022368,0.0593220531275757
2016,721.5743595111967,0.08995924929850768,0.0613654426505447
2016,754.9712837527843,0.09269314592806137,0.06353154072308982
2016,789.9139316389233,0.09557022308152546,0.06582813454846982
2016,826.4738445357596,0.09859761175333209,0.06826348983916408
2016,864.7258749880502,0.10178269870884285,0.07084637245419675
2016,904.7483399718111,0.10513311962811085,0.07358606939184412
2016,946.6231812400199,0.10865674948916143,0.07649240875663821
2016,990.4361330896666,0.11236168988626452,0.07957577825119644
2016,1036.2768978936347,0.11625625297319188,0.08284714166732912
2016,1084.2393297567976,0.12034894172081362,0.08631805276701134
2016,1134.421626672346,0.12464842618352606,0.09000066585226293
2016,1186.9265315717657,0.12916351548087335,0.09390774222421282
2016,1241.8615426800943,0.13390312522027903,0.09805265162646176
2016,1299.3391336071384,0.13887624011493693,0.10244936765764953
2016,1359.4769836252617,0.14409187158843417,0.10711245602485335
2016,1422.3982186052174,0.14955901020526913,0.11205705439581806
2016,1488.231663103311,0.15528657282456212,0.1172988424976759
2016,1557.1121041160186,0.1612833444431908,0.12285400100741334
2016,1629.1805670420697,0.16755791477426593,0.12873915769072225
2016,1704.5846044169962,0.1741186096969146,0.13497131917816033
2016,1783.4785980113013,0.18097341781300208,0.141567786729232
2016,1866.0240749107645,0.18812991245453425,0.14854605433598728
2016,1952.3900382260208,0.19559516960045392,0.1559236875692421
2016,2042.7533131085058,0.20337568228138106,0.1637181816849592
2016,2137.2989087812134,0.21147727217314793,0.1719467976989342
2016,2236.2203973254373,0.21990499920199252,0.1806263754183129
2016,2339.7203099991134,0.2286630701029822,0.1897731228018797
2016,2448.0105518980567,0.23775474698535748,0.19940238151940018
2016,2561.3128358092135,0.2471822570607291,0.20952836920303602
2016,2679.85913614404,0.25694670477900783,0.2201638996363313
2016,2803.892163881554,0.26704798768945914,0.2313200830083547
2016,2933.6658634932824,0.27748471739726893,0.24300600936448505
2016,3069.4459328676835,0.28825414701692986,0.2552284194941817
2016,3211.510367298351,0.2993521065302762,0.26799136868183265
2016,3360.1500286499468,0.3107729474374688,0.28129588996936433
2016,3515.6692408669755,0.32250949804233653,0.2951396647855253
2016,3678.386413044842,0.3345530306386592,0.3095167099211238
2016,3848.634691338654,0.34689324176093933,0.3244170907951375
2016,4026.7626410447047,0.359518246532485,0.3398266716789804
2016,4213.134960250894,0.3724145879858976,0.3557269139369729
2016,4408.133226517454,0.3855672620478064,0.37209473331503823
2016,4612.156678116473,0.3989597586725666,0.3889024267917126
2016,4825.62303142999,0.41257411938104016,0.40611767843968555
2016,5048.969336179922,0.42639101121319917,0.4237036521034263
2016,5282.65287024109,0.4403898168406276,0.44161917648562626
2016,5527.152075869127,0.4545487403109592,0.4598190254996553
2016,5782.967539260286,0.4688449276157136,0.47825429357875787
2016,6050.623015448586,0.4832546009911796,0.49687286216972276
2016,6330.666500638704,0.49775320558510544,0.5156199500513429
2016,6623.671354170098,0.5123155668566153,0.534438736605268
2016,6930.237472409449,0.5269160568300818,0.5532710439411161
2016,7250.9925169748585,0.5415287671029946,0.5720580610471089
2016,7586.593199806453,0.5561276863204829,0.5907410910878363
2016,7937.726627714446,0.5706868796821549,0.6092623017482178
2016,8305.111709157462,0.5851806679468289,0.627565458219423
2016,8689.500626131376,0.5995838033532723,0.6455966190670615
2016,9091.680374182186,0.6138716398848788,0.6633047767761951
2016,9512.47437369594,0.6280202953766378,0.6806424271298704
2016,9952.744155764656,0.6420068030955322,0.6975660545922496
2016,10413.391126079874,0.6558092506205337,0.7140365243388107
2016,10895.358410465238,0.6694069041034625,0.7300193752877083
2016,11399.632785826545,0.6827803163025951,0.7454850122185909
2016,11927.24670047293,0.6959114171399609,0.7604087986132572
2016,12479.280387945231,0.7087835859310679,0.7747710550415323
2016,13056.864078679575,0.7213817048601501,0.7885569706110972
2016,13661.180314034378,0.7336921937104504,0.8017564371131803
2016,14293.466367418436,0.7457030262914179,0.8143638169856119
2016,14955.016777476985,0.7574037294159801,0.8263776570829985
2016,15647.185998522225,0.7687853656543542,0.8378003605302649
2016,16371.39117363496,0.7798405014105227,0.8486378287084966
2016,17129.115036114843,0.7905631621203508,0.8588990847681651
2016,17921.908945219515,0.8009487765466574,0.8685958890813509
2016,18751.3960624081,0.8109941122410463,0.8777423558300409
2016,19619.274674592238,0.8206972042544104,0.8863545785752861
2016,20527.321671198515,0.8300572791120786,0.8944502712450689
2016,21477.396182161094,0.8390746759344693,0.9020484295871256
2016,22471.443384292983,0.847750766392354,0.909169016811834
2016,23511.498483829397,0.8560878749525824,0.9158326759399733
2016,24599.69088329679,0.864089200611767,0.9220604702972398
2016,25738.248541238638,0.8717587410483458,0.9278736526761524
2016,26929.502533724193,0.8791012198625916,0.9332934629205811
2016,28175.891826979638,0.8861220173322071,0.9383409530747868
2016,29479.968270912905,0.8928271048977173,0.9430368387679046
2016,30844.401823755677,0.8992229834132163,0.9474013751627037
2016,32271.986018519594,0.9053166250570892,0.9514542555683533
2016,33765.64368245898,0.9111154186941451,0.9552145306840871
2016,35328.432921249834,0.9166271184128147,0.9587005463874331
2016,36963.5533801368,0.9218597949247773,0.9619298979912786
2016,38674.35279486737,0.9268217895046927,0.9649193989540713
2016,40464.33384582592,0.9315216701594767,0.967685062124093
2016,42337.161329400544,0.9359681897448082,0.9702420917210095
2016,44296.66966126493,0.9401702457868013,0.9726048843965382
2016,46346.87072693761,0.9441368418151577,0.9747870378635297
2016,48491.962095692295,0.9478770500673226,0.9768013657330445
2016,50736.33561463606,0.9513999754784406,0.9786599173474585
2016,53084.586400550405,0.9547147209268029,0.9803740015408382
2016,55541.52224790535,0.9578303537568127,0.9819542133933292
2016,58112.173472308954,0.9607558736492495,0.9834104631724989
2016,60801.803209545404,0.9635001819499187,0.9847520067705174
2016,63615.91819128714,0.9660720526009602,0.9859874770513233
2016,66560.2800195437,0.9684801048427834,0.9871249156164962
2020,0.0,0.06753663076819728,0.0532372003944597
2020,50.0,0.0722635145914999,0.05728972310769691
2020,52.31417066040228,0.07248345717231396,0.05747925620347437
2020,54.735449037713906,0.0727136844240636,0.05767774393177983
