codigo_municipio,municipio,candidatos_2016,candidatos_2020,candidatos_2024,fracao_publica_2016,fracao_publica_2020,fracao_publica_2024,gini_receita_2016,gini_receita_2020,gini_receita_2024,auc_receita_eleicao_2016,auc_receita_eleicao_2020,auc_receita_eleicao_2024,entropia_normalizada_2016,entropia_normalizada_2020,entropia_normalizada_2024,variacao_fracao_publica_2024_menos_2016,variacao_gini_receita_2024_menos_2016,variacao_auc_receita_eleicao_2024_menos_2016,variacao_entropia_normalizada_2024_menos_2016
84735,ÁUREA,27.0,38.0,39.0,0.019071288100974616,0.40077843503728394,0.6383218601747868,0.14138542368293083,0.21938005092887858,0.3303207779090864,0.5617283950617283,0.45593869731800774,0.7240740740740741,0.9882534610370587,0.9780214266314582,0.9459169090282892,0.6192505720738122,0.1889353542261556,0.16234567901234576,-0.04233655200876951
84743,TRÊS ARROIOS,32.0,22.0,32.0,0.0,0.08042807186603601,0.36682768225566786,0.09270914474100644,0.2858450062295197,0.237634384594277,0.5072463768115942,0.5384615384615385,0.6690821256038647,0.9884149813686905,0.9476334675576632,0.9715102499794366,0.36682768225566786,0.14492523985327055,0.16183574879227047,-0.01690473138925397
84751,NOVA ROMA DO SUL,25.0,25.0,27.0,0.0020034057898427327,0.0,0.2872737719046251,0.214954756419246,0.283123607687916,0.5858530587056874,0.6180555555555556,0.625,0.552469135802469,0.9712226574137102,0.956138575396555,0.7872072301871993,0.2852703661147824,0.3708983022864414,-0.06558641975308654,-0.18401542722651087
84760,PROGRESSO,38.0,32.0,24.0,0.006544880975885387,0.5089636906291384,0.5261608004883369,0.30676721173086063,0.3489526713181661,0.3014545489710754,0.7873563218390804,0.5096618357487923,0.45925925925925926,0.9554024083257064,0.9317615437355347,0.9535979958148841,0.5196159195124516,-0.005312662759785258,-0.3280970625798212,-0.0018044125108223064
84778,PIRAPÓ,21.0,19.0,19.0,0.046830341384673534,0.13173022465867423,0.8170752042688011,0.2938517642383618,0.3544216321193232,0.23301124246333704,0.6574074074074074,0.6277777777777778,0.5444444444444444,0.947409807567143,0.920260527179082,0.9627325759039155,0.7702448628841275,-0.06084052177502475,-0.11296296296296304,0.015322768336772485
84786,JABOTICABA,24.0,22.0,17.0,0.01740899152092836,0.010126582278481013,0.5647315344780595,0.22762408308304805,0.1421672420406599,0.21393872348612386,0.6333333333333333,0.6965811965811965,0.5347222222222222,0.9737787741951393,0.9894648357467525,0.9680512418052075,0.5473225429571311,-0.013685359596924185,-0.0986111111111111,-0.005727532389931733
84794,SÃO JORGE,18.0,20.0,20.0,0.056105152276396425,0.01403862478777589,0.868747471625195,0.21569932812521664,0.40947698547443867,0.3171331755711908,0.654320987654321,0.696969696969697,0.35858585858585856,0.9730455060868304,0.9018578023554845,0.9441089954474163,0.8126423193487985,0.10143384744597417,-0.29573512906846244,-0.028936510639414048
84808,ALTO ALEGRE,25.0,25.0,25.0,0.0,0.0016021628187011562,0.4844265298644192,0.3742543576500963,0.6961925210608246,0.16114327592524735,0.5277777777777778,0.6041666666666666,0.5902777777777778,0.9207127458015387,0.7115440209167311,0.9848478984261646,0.4844265298644192,-0.21311108172484894,0.0625,0.06413515262462588
84816,NOVA HARTZ,103.0,70.0,46.0,0.01765515434119577,0.1717318023929886,0.7093560393777981,0.4503468026763917,0.47245866802102476,0.5066805478480965,0.7430830039525691,0.7759562841530054,0.8168168168168167,0.9286119302299638,0.9062785656583678,0.879116376710946,0.6917008850366023,0.05633374517170475,0.07373381286424763,-0.0494955535190178
84824,DOIS LAJEADOS,33.0,36.0,28.0,0.0,0.24070748744710455,0.24903358562076228,0.49048455054550266,0.4942175553497956,0.4320937794306692,0.6898148148148149,0.6275720164609053,0.4385964912280702,0.8731778344448818,0.8712281155305531,0.8986431837023018,0.24903358562076228,-0.058390771114833484,-0.2512183235867447,0.025465349257419945
84832,SÃO DOMINGOS DO SUL,30.0,31.0,13.0,0.010187638472292296,0.20581495175132078,0.9214839679358717,0.19147641888547007,0.2987674679924923,0.21088392168953285,0.6428571428571429,0.4595959595959596,0.3055555555555556,0.9630959807783297,0.9485910769651145,0.9691097979859905,0.9112963294635794,0.01940750280406278,-0.3373015873015873,0.00601381720766081
84840,TUNAS,19.0,22.0,18.0,0.001300843339191219,0.0,0.4874231463415669,0.30661157394896077,0.16028674577811075,0.2083126418713639,0.7444444444444445,0.6495726495726495,0.5679012345679013,0.9366558085081916,0.9836221018543605,0.9737342709504054,0.4861223030023757,-0.09829893207759688,-0.17654320987654315,0.0370784624422138
