ano,indicador,valor_pelotas,mediana_rs,percentil_pelotas_no_rs
2016,candidatos,337.0,33.0,99.09456740442656
2016,fracao_publica,0.06043714660079594,0.0256400930162633,76.55935613682092
2016,gini_receita,0.7660121582967518,0.3265440054994697,99.49698189134809
2016,entropia_normalizada,0.7918862825796048,0.9466333117452795,1.5090543259557343
2016,auc_receita_eleicao,0.9567510548523206,0.7530864197530864,98.2897384305835
2020,candidatos,425.0,35.0,99.09456740442656
2020,fracao_publica,0.49777617220721027,0.20773309444834515,95.4728370221328
2020,gini_receita,0.6759513010938447,0.3544216321193232,96.68008048289738
2020,entropia_normalizada,0.8587164069647827,0.9391474728774388,11.368209255533198
2020,auc_receita_eleicao,0.9222065063649222,0.6962962962962963,96.47887323943662
2024,candidatos,252.0,35.0,98.08853118712274
2024,fracao_publica,0.644493545224914,0.6189928446085871,56.841046277665995
2024,gini_receita,0.603510000500473,0.3711247432450073,96.68008048289738
2024,entropia_normalizada,0.885926616722032,0.9326662117919804,15.392354124748492
2024,auc_receita_eleicao,0.9204287775716347,0.6701388888888888,97.88732394366197
