ano,partido,ideologia,ideologia_sensibilidade,criterio
2024,PMB,Direita,Direita,Complemento por continuidade partidária/literatura; testar exclusão
2024,PODE,Direita,Direita,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2024,PP,Direita,Direita,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2024,PRD,Direita,Direita,Complemento por continuidade partidária/literatura; testar exclusão
2024,PRTB,Direita,Direita,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2024,PSD,Direita,Direita,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2024,REPUBLICANOS,Direita,Direita,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2024,UNIÃO,Direita,Direita,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2024,PC do B,Esquerda,Esquerda,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2024,PCB,Esquerda,Esquerda,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2024,PDT,Esquerda,Centro,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2024,PSB,Esquerda,Centro,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2024,PSOL,Esquerda,Esquerda,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2024,PSTU,Esquerda,Esquerda,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2024,PT,Esquerda,Esquerda,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2024,REDE,Esquerda,Centro,"Borges & Vidigal (2023), Tabela A.1; equivalência histórica"
2024,UP,Esquerda,Esquerda,Complemento por continuidade partidária/literatura; testar exclusão
