ano,codigo_municipio,municipio,candidatos,eleitos,nao_eleitos,receita_zero,receita_total_nominal,receita_total_2024,media_receita_2024,mediana_receita_2024,mediana_eleitos_2024,mediana_nao_eleitos_2024,gini_receita,participacao_top10,razao_participacao,razao_participacao_normalizada,entropia_normalizada,fracao_receita_eleitos,auc_receita_eleicao,fracao_publica,fracao_Pessoas físicas,fracao_Recursos próprios,fracao_Fundo Partidário,fracao_FEFC,fracao_Transferências políticas,fracao_Financiamento coletivo,fracao_Empresas,fracao_Outros
2016,84735,ÁUREA,27,9,18,0,106967.08000000002,158358.47763586557,5865.128801328355,5450.614572594185,5699.69881292527,5382.699330245368,0.14138542368293083,0.17469533617258692,25.101994034736826,0.9297034827680306,0.9882534610370587,0.3458876319705091,0.5617283950617283,0.019071288100974616,0.25895817666519455,0.7219705352338308,0.019071288100974616,0.0,0.0,0.0,0.0,0.0
2016,84743,TRÊS ARROIOS,32,9,23,0,110109.57,163010.74945992517,5094.085920622661,5522.045862912015,5522.045862912015,5522.045862912015,0.09270914474100644,0.1449607876953838,30.116499691222014,0.9411406153506879,0.9884149813686905,0.2672208237667262,0.5072463768115942,0.0,0.31545850192676256,0.6845414980732374,0.0,0.0,0.0,0.0,0.0,0.0
2016,84751,NOVA ROMA DO SUL,25,9,16,0,29949.0,44337.73499955816,1773.5093999823264,1598.8765501192966,1598.8765501192966,1598.8765501192966,0.214954756419246,0.22738655714715017,21.125293726910105,0.8450117490764042,0.9712226574137102,0.41771010718220974,0.6180555555555556,0.0020034057898427327,0.28949213663227485,0.7085044575778824,0.0020034057898427327,0.0,0.0,0.0,0.0,0.0
2016,84760,PROGRESSO,38,9,29,1,36669.88,54287.60298860055,1428.621131278962,1273.1794750949955,2087.4221626557483,1125.1353500839493,0.30676721173086063,0.2073371933586911,29.194933867668325,0.7682877333596928,0.9554024083257064,0.33929344737424827,0.7873563218390804,0.006544880975885387,0.30160993163871824,0.6574845622619981,0.006544880975885387,0.0,0.034360625123398277,0.0,0.0,0.0
2016,84778,PIRAPÓ,21,9,12,0,46376.130000000005,68657.1358724852,3269.3874224992956,3003.815296474123,3166.6638339862734,2861.322826150991,0.2938517642383618,0.2958418479506591,15.344437659075393,0.7306875075750187,0.947409807567143,0.5291651114484972,0.6574074074074074,0.046830341384673534,0.3874838198012641,0.49021597964297575,0.046830341384673534,0.0,0.07546985917108649,0.0,0.0,0.0
2016,84786,JABOTICABA,24,9,15,0,53765.32,79596.3975533889,3316.5165647245376,2640.751884297034,3653.729005272615,2261.018703643701,0.22762408308304805,0.20541122046702223,20.503907441427714,0.8543294767261548,0.9737787741951393,0.4079354498401572,0.6333333333333333,0.01740899152092836,0.4657608287275143,0.5168301797515573,0.01740899152092836,0.0,0.0,0.0,0.0,0.0
2016,84794,SÃO JORGE,18,9,9,0,35647.35,52773.80739712509,2931.8781887291716,2808.249007334531,3340.3195926242306,2751.2520192052784,0.21569932812521664,0.20426062526386957,15.345521348682247,0.8525289638156804,0.9730455060868304,0.5569861434300166,0.654320987654321,0.056105152276396425,0.19314198671149468,0.7507528610121089,0.056105152276396425,0.0,0.0,0.0,0.0,0.0
2016,84808,ALTO ALEGRE,25,9,16,0,30980.0,45864.069928422046,1834.562797136882,2131.835400159062,2131.835400159062,2131.835400159062,0.3742543576500963,0.32020658489347964,16.286614151849502,0.6514645660739801,0.9207127458015387,0.32924467398321494,0.5277777777777778,0.0,0.40219496449322145,0.1459005810200129,0.0,0.0,0.45190445448676564,0.0,0.0,0.0
2016,84816,NOVA HARTZ,103,11,92,0,411672.98000000004,609457.6611478982,5917.064671338817,4928.981098117765,8813.436872220094,4026.763189269198,0.4503468026763917,0.30136653612777803,60.18063053389993,0.584277966348543,0.9286119302299638,0.16570565306472143,0.7430830039525691,0.01765515434119577,0.40746419646001536,0.41220366223695315,0.01765515434119577,0.0,0.16267698696183552,0.0,0.0,0.0
2016,84824,DOIS LAJEADOS,33,9,24,1,19589.1,29000.511692538807,878.8033846223881,592.176500044184,740.2206250552299,548.5034831659253,0.49048455054550266,0.4243574232608951,14.766331123286804,0.4474645794935395,0.8731778344448818,0.39750677672787416,0.6898148148148149,0.0,0.025524398772786908,0.935899045897974,0.0,0.0,0.038576555329239225,0.0,0.0,0.0
