regiao_intermediaria,municipios,mediana_delta_auc_2016_2024,mediana_auc_2024,mediana_gini_2024,mediana_fracao_publica_2024,percentual_contratendencia_auc,percentual_contratendencia_auc_forte,percentual_acoplamento_alto_persistente,percentual_excecao_multidimensional
Caxias do Sul,54,-0.08362514029180684,0.6177880499914398,0.356959311839743,0.660315968093671,27.77777777777778,3.7037037037037033,5.555555555555555,7.4074074074074066
Ijuí,77,-0.0694444444444444,0.6495726495726495,0.3124081858585881,0.6065941754365507,31.16883116883117,12.987012987012985,7.792207792207792,5.194805194805195
Passo Fundo,144,-0.08580958953629765,0.6157731157731158,0.2905049326054425,0.614098561714651,30.555555555555557,13.194444444444445,7.638888888888889,6.25
Pelotas,24,-0.09478329583199395,0.7697351421188631,0.4706983652316554,0.5983154054460897,25.0,12.5,25.0,8.333333333333332
Porto Alegre,90,-0.06216681051196415,0.7792592592592592,0.47475011786060173,0.6397444436510775,31.11111111111111,8.88888888888889,24.444444444444443,4.444444444444445
Santa Cruz do Sul - Lajeado,58,-0.0665280757493872,0.6630225014371356,0.3936667448014879,0.6211355219295319,27.586206896551722,5.172413793103448,3.4482758620689653,8.620689655172415
Santa Maria,40,-0.07547949568881711,0.6998327759197325,0.3756867111936508,0.6207032136726135,30.0,2.5,7.5,0.0
Uruguaiana,10,-0.0500789728168512,0.8547513175230566,0.4872548686736079,0.6064837030996425,20.0,10.0,30.0,20.0
