quartil_idhm_2010,municipios,mediana_delta_auc_2016_2024,mediana_auc_2024,mediana_gini_2024,mediana_fracao_publica_2024,percentual_contratendencia_auc,percentual_contratendencia_auc_forte,percentual_acoplamento_alto_persistente,percentual_excecao_multidimensional
Q1: menor,126,-0.09756650513229455,0.6753086419753087,0.35785291629254773,0.6055647445669008,31.746031746031743,14.285714285714285,9.523809523809524,10.317460317460316
Q2,124,-0.06083067194178305,0.674074074074074,0.4025927002641891,0.6241533842919155,29.03225806451613,4.838709677419355,8.064516129032258,4.032258064516129
Q3,125,-0.0522875816993463,0.6412037037037037,0.3665601590027314,0.614336377090838,28.000000000000004,6.4,12.8,4.8
Q4: maior,121,-0.0694444444444444,0.6876543209876543,0.3576885800003255,0.6482756046409998,29.75206611570248,12.396694214876034,14.87603305785124,4.958677685950414
