contraste,estimativa,erro_padrao,estatistica,graus_liberdade,p_valor,tipo_teste
Teste global: inclinações iguais,113.23242146479606,,113.23242146479606,2,2.581618666836135e-25,Razão de verossimilhanças
2020 menos 2016,-0.2220971933198539,0.04179572684809424,-5.313873213093335,1,1.0731930192925862e-07,"Wald, EP clusterizado por município"
2024 menos 2016,-0.34819206560607574,0.03984507614487701,-8.738647263216329,1,2.359182296262197e-18,"Wald, EP clusterizado por município"
2024 menos 2020,-0.12609487228622185,0.036113995051249154,-3.491579153934129,1,0.0004801741661091185,"Wald, EP clusterizado por município"
