ano,relacao,n_municipios,rho_spearman,p_valor
2016,Fração pública × AUC receita-eleição,447,0.284812200215113,8.666947865271429e-10
2016,Fração pública × Gini,447,0.3747451932806373,2.372226741927281e-16
2016,Número de candidatos × AUC,447,0.5189806603173929,3.438008400220881e-32
2020,Fração pública × AUC receita-eleição,472,0.2816770500937389,4.665839525831158e-10
2020,Fração pública × Gini,472,0.4810600457286463,1.0412474114752298e-28
2020,Número de candidatos × AUC,472,0.5994243170447889,2.231748161584533e-47
2024,Fração pública × AUC receita-eleição,446,-0.11968644397590936,0.011418311407695813
2024,Fração pública × Gini,446,0.15462496149232907,0.001052737526386857
2024,Número de candidatos × AUC,446,0.6244391626393644,1.3683458974720897e-49
