faixa_populacao_2022,municipios,mediana_delta_auc_2016_2024,mediana_auc_2024,mediana_gini_2024,mediana_fracao_publica_2024,percentual_contratendencia_auc,percentual_contratendencia_auc_forte,percentual_acoplamento_alto_persistente,percentual_excecao_multidimensional
Até 10 mil,335,-0.0981481481481482,0.6111111111111112,0.3111005181561093,0.614336377090838,26.865671641791046,11.044776119402986,5.3731343283582085,6.865671641791045
10–20 mil,55,-0.0373376623376623,0.771043771043771,0.3986937278863329,0.6046175406034847,43.63636363636363,7.2727272727272725,12.727272727272727,7.2727272727272725
20–50 mil,64,-0.0373393803480231,0.8036551691304245,0.48087364547485456,0.6243472280069309,39.0625,7.8125,7.8125,3.125
50–100 mil,24,-0.052117850322256395,0.8346727641675777,0.5073402972732121,0.6249210201218864,16.666666666666664,4.166666666666666,37.5,4.166666666666666
Mais de 100 mil,19,-0.0332853421088715,0.9006015859994532,0.6207232956256932,0.6755791305245795,21.052631578947366,0.0,89.47368421052632,0.0
