ano,fonte,valor_total_nominal,participacao_estadual,candidatos_recebedores,taxa_acesso,mediana_entre_recebedores
2016,Pessoas físicas,28691503.410000004,0.34509578861209156,17786,0.6941690734525018,550.0
2016,Recursos próprios,41690767.78,0.5014483967357455,19801,0.772812426820701,1144.0
2016,Fundo Partidário,5601562.98,0.06737450339983413,8227,0.3210912497072828,184.0
2016,FEFC,0.0,0.0,0,0.0,
2016,Transferências políticas,7140476.64,0.08588425576500723,9625,0.375653735071423,324.0
2016,Financiamento coletivo,0.0,0.0,0,0.0,
2016,Empresas,0.0,0.0,0,0.0,
2016,Outros,16383.33,0.00019705548732143406,65,0.0025368823667161035,50.0
2020,Pessoas físicas,30073933.43,0.3041658602310779,13847,0.4568308534855333,800.0
2020,Recursos próprios,24146882.849999998,0.24422004561075172,18975,0.6260103592755105,841.5
2020,Fundo Partidário,2561290.87,0.025904733831671446,3622,0.11949457292732012,209.7
2020,FEFC,35198509.379999995,0.35599549720820683,13353,0.44053313978423675,1000.0
2020,Transferências políticas,6031909.43,0.06100635039584513,9578,0.3159908943947742,305.425
2020,Financiamento coletivo,818390.6299999999,0.008277151060349465,302,0.009963379631157007,1122.5
2020,Empresas,0.0,0.0,0,0.0,
2020,Outros,42551.35,0.0004303616620974769,99,0.0032661410049157073,150.0
2024,Pessoas físicas,32631679.9,0.1948168694725704,10146,0.389616374179179,1050.0
2024,Recursos próprios,19802456.990000002,0.1182241518205448,12682,0.48700126723244114,1000.0
2024,Fundo Partidário,3717551.87,0.02219443864473861,1389,0.05333896547751622,888.0
2024,FEFC,105415704.44,0.6293502999288291,18647,0.7160631312161592,2500.0
2024,Transferências políticas,5331779.050000001,0.03183165887945707,5227,0.20072193848162512,550.0
2024,Financiamento coletivo,546354.72,0.003261833791522414,178,0.006835374985599631,1382.045
2024,Empresas,0.0,0.0,0,0.0,
2024,Outros,53724.96000000001,0.00032074746233763673,87,0.003340885526669483,200.0
