ano,municipios,candidatos,eleitos,taxa_eleicao,receita_zero,receita_total_nominal,receita_total_2024,mediana_candidato_2024,gini_estadual,fracao_publica_estadual,mediana_fracao_publica_municipal,mediana_gini_municipal,mediana_auc_municipal,media_auc_municipal,auc_estadual_sem_estratificacao
2016,497,25622,4910,0.19163219108578566,1136,83140694.14000002,123084913.16767298,2546.6106252025097,0.6024503890355033,0.06737450339983413,0.0256400930162633,0.3265440054994697,0.7530864197530864,0.7443932055611991,0.7167616016453756
2020,497,30311,4903,0.16175645805153244,1902,98873467.94,127931408.03628096,1883.231261612469,0.6507411885921977,0.3819002310398783,0.20773309444834515,0.3544216321193232,0.6962962962962963,0.6898936881792218,0.6390686135653851
2024,497,26041,4903,0.18828001996851118,1121,167499251.93,167499251.93,2951.43,0.6367889012289292,0.6515447385735676,0.6189928446085871,0.3711247432450073,0.6701388888888888,0.6634806253152385,0.6015072190446406
