familia,relacao,n,estatistica,graus_liberdade,p_valor,p_bh
Correlação de Spearman,"IDHM 2010 × Variação da AUC, 2016–2024",496,0.014128138892010167,,0.7536194933425654,0.8362186678271181
Correlação de Spearman,IDHM 2010 × AUC em 2024,496,0.03058659455817144,,0.496734896903588,0.6519645521859593
Correlação de Spearman,"IDHM 2010 × Variação do Gini, 2016–2024",496,-0.008960382962380263,,0.842217609956778,0.8843284904546168
Correlação de Spearman,IDHM 2010 × Fração pública em 2024,496,0.0962816435259169,,0.032043576619410964,0.08411438862595379
Correlação de Spearman,"População 2022 (log10) × Variação da AUC, 2016–2024",497,0.16778790070150887,,0.00017139079477536092,0.0005998677817137632
Correlação de Spearman,População 2022 (log10) × AUC em 2024,497,0.653963455165343,,5.6957690109628e-62,1.1961114923021879e-60
Correlação de Spearman,"População 2022 (log10) × Variação do Gini, 2016–2024",497,-0.3243136907795952,,1.2330157218673603e-13,8.631110053071523e-13
Correlação de Spearman,População 2022 (log10) × Fração pública em 2024,497,0.0403114431309162,,0.36983381634393686,0.5547507245159052
Correlação de Spearman,"Urbanização 2022 × Variação da AUC, 2016–2024",497,0.14154841453284234,,0.0015582757048388316,0.004674827114516495
Correlação de Spearman,Urbanização 2022 × AUC em 2024,497,0.5118206481069454,,1.558090809047171e-34,1.6359953494995294e-33
Correlação de Spearman,"Urbanização 2022 × Variação do Gini, 2016–2024",497,-0.2592209876555386,,4.493065853253733e-09,2.3588595729582095e-08
Correlação de Spearman,Urbanização 2022 × Fração pública em 2024,497,0.01393877060927101,,0.7565787947007259,0.8362186678271181
Correlação de Spearman,"PIB per capita 2023 (log10) × Variação da AUC, 2016–2024",497,0.07109867087770856,,0.11340989980659753,0.26462309954872754
Correlação de Spearman,PIB per capita 2023 (log10) × AUC em 2024,497,0.025756704676120006,,0.5667420628588399,0.7000931364726846
Correlação de Spearman,"PIB per capita 2023 (log10) × Variação do Gini, 2016–2024",497,-0.051939112326504694,,0.24777563943657144,0.47302622074254547
Correlação de Spearman,PIB per capita 2023 (log10) × Fração pública em 2024,497,-0.042889576088478015,,0.3399874068995427,0.5547507245159052
Qui-quadrado por região intermediária,contratendencia_auc,497,1.1410018647654119,7.0,0.9922224922233271,0.9922224922233271
Qui-quadrado por região intermediária,contratendencia_auc_forte,497,9.35872527350898,7.0,0.22791657759579448,0.47302622074254547
Qui-quadrado por região intermediária,acoplamento_alto_persistente,497,32.3700318719587,7.0,3.467653196715824e-05,0.0001456414342620646
Qui-quadrado por região intermediária,excecao_multidimensional,497,7.602486376580959,7.0,0.3689465935481711,0.5547507245159052
Kruskal–Wallis por região intermediária,"Variação da AUC, 2016–2024",497,6.868986997404987,7.0,0.4426473178811806,0.6197062450336529
